Recipient,Activity namE,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority,
Liam Bates,Second Collection Writing Time and Outreach,"£7,640",3-Apr-24,April,Q1,Midlands,Lancaster,Literature,"£30,000 and below",
Julie Burrow,"R&D - An Evening with Me, Rosy Maple - a Project Deconstructing Societal Expectations for Female Creatives Resubmission","£14,385",3-Apr-24,April,Q1,North,Manchester,Theatre,"£30,000 and below",
Guild of Lillians,Research & Development for 'Woven',"£18,406",3-Apr-24,April,Q1,North,Newcastle upon Tyne,Theatre,"£30,000 and below",
Graeme Hopper,Boundaries Festival 2024,"£25,000",3-Apr-24,April,Q1,North,Gateshead,Music,"£30,000 and below",Supporting Grassroots Music
Compass Festival,Compass 2024 (2),"£106,249",4-Apr-24,April,Q1,North,Leeds,Combined arts,"Above £30,000",
North East Lincolnshire Council,Festival of the Sea 2024,"£49,000",4-Apr-24,April,Q1,North,North East Lincolnshire,Combined arts,"Above £30,000",
Manchester Mega Mela,Manchester Mega Mela 2024,"£58,500",4-Apr-24,April,Q1,North,Manchester,Combined arts,"Above £30,000",
Dan Wolff,Jewish Testimonial Research Project,"£15,788",5-Apr-24,April,Q1,Midlands,Rushcliffe,Theatre,"£30,000 and below",
Burbage Band (Buxton),The Burbage Works,"£10,825",5-Apr-24,April,Q1,Midlands,High Peak,Music,"£30,000 and below",
Philip Holyman,True Voyage Is Return - Resubmission,"£29,997",5-Apr-24,April,Q1,Midlands,Birmingham,Literature,"£30,000 and below",
James Turner,Stirchley Printworks Residency Programme 2024,"£30,000",5-Apr-24,April,Q1,Midlands,Birmingham,Visual arts,"£30,000 and below",
Nehemiah Smith,Hold Your Ground Workshops and Battle Events (Re Submission),"£20,450",5-Apr-24,April,Q1,Midlands,Birmingham,Dance,"£30,000 and below",
LeftLion Ltd,LeftLion Live At The Library - Live Events and Podcasts,"£27,370",5-Apr-24,April,Q1,Midlands,Nottingham,Libraries,"£30,000 and below",
katie hoare,Positive Risk,"£15,515",5-Apr-24,April,Q1,Midlands,Walsall,Theatre,"£30,000 and below",
Cowley Road Works,Back On The Rpoad Carnival 2024,"£83,000",8-Apr-24,April,Q1,South East,Oxford,Combined arts,"Above £30,000",
Cliftonville Cultural Space,ARK - developing our organisation,"£50,000",8-Apr-24,April,Q1,South East,Thanet,Combined arts,"Above £30,000",
The Daylight Collective,Daylight Sessions - A Parent-Friendly Art and Culture Programme,"£31,600",10-Apr-24,April,Q1,South West,Exeter,Combined arts,"£30,000 and below",
No Dots Ltd,Morecambe 2024+,"£29,000",10-Apr-24,April,Q1,North,Kirklees,Music,"£30,000 and below",
Spiracle Audiobooks Ltd,Bookshop Distribution Scheme,"£27,000",10-Apr-24,April,Q1,London,Islington,Literature,"£30,000 and below",
Converge,From Clinic to a Creative Community,"£21,000",10-Apr-24,April,Q1,North,York,Combined arts,"£30,000 and below",
Linden Dance Company CIC,"UNBOXED: Community, Outreach, Development & Tour","£29,981",10-Apr-24,April,Q1,Midlands,Birmingham,Dance,"£30,000 and below",
Sudden Productions,Maryvale Pop Up Theatre 2024,"£9,500",10-Apr-24,April,Q1,Midlands,Birmingham,Theatre,"£30,000 and below",
Andrew Wright,National tour and football museum run of The Giant Killers,"£29,893",10-Apr-24,April,Q1,London,Hounslow,Theatre,"£30,000 and below",
Wentworth Woodhouse Preservation Trust,Beneath the Surface: Stubbs and Contemporary Artists,"£29,973",10-Apr-24,April,Q1,North,Rotherham,Visual arts,"£30,000 and below",
Barbara Smith,Immersive Greenbooth: AV installation,"£30,000",10-Apr-24,April,Q1,North,Rochdale,Visual arts,"£30,000 and below",
Theatre Space North East CIC,Theatre Space Summer of Shakespeare 2024,"£16,431",10-Apr-24,April,Q1,North,Sunderland,Theatre,"£30,000 and below",
Stacked Wonky,Are You Here For The Meeting?: Creation & Performance,"£31,189",10-Apr-24,April,Q1,South West,Somerset,Theatre,"£30,000 and below",
Allison Davies,Tiny Fragments of Beautiful Light: touring and developing audiences,"£43,745",10-Apr-24,April,Q1,North,Northumberland,Theatre,"£30,000 and below",
Joe Snape,Significant Other: Newcastle (Inter)national Grassroots Music Festival,"£2,956",10-Apr-24,April,Q1,North,Northumberland,Music,"£30,000 and below",
Hannah Maxwell,"Nan, Me & Barbara Pravi: Touring, workshops & access development","£27,998",10-Apr-24,April,Q1,South East,North Hertfordshire,Theatre,"£30,000 and below",
LCB Depot - Lightbox,LCB Depot 2024 Commissions,"£25,395",10-Apr-24,April,Q1,Midlands,Leicester,Combined arts,"£30,000 and below",
Theo James Kennedy,Emoto-Matic,"£18,050",10-Apr-24,April,Q1,South East,Buckinghamshire,Theatre,"£30,000 and below",
Product Of t/a Take Stock Exchange,Machloket: Further development & live shows,"£31,083",10-Apr-24,April,Q1,London,Redbridge,Theatre,"£30,000 and below",
Keyoni Lawrence,Shankhill’s Pony,£0,10-Apr-24,April,Q1,Midlands,Birmingham,Visual arts,"£30,000 and below",
Creeq Community Interest Company,Community co-design sculptures,"£29,579",10-Apr-24,April,Q1,Midlands,Birmingham,Visual arts,"£30,000 and below",
Chew Valley Performing Arts,Fringe Festival 2024,"£29,529",10-Apr-24,April,Q1,South West,North Somerset,Combined arts,"£30,000 and below",
This is Wyld,Immersive Colour,"£29,325",10-Apr-24,April,Q1,South East,Adur,Visual arts,"£30,000 and below",
Ceyda Tanc Dance CIC,Resubmission: Artistic and Organisational Development for Ceyda Tanc Dance,"£29,975",10-Apr-24,April,Q1,South East,Brighton and Hove,Dance,"£30,000 and below",
Lucy Mager,Art Club,"£16,497",10-Apr-24,April,Q1,North,North East Lincolnshire,Visual arts,"£30,000 and below",
"Furthest from the Sea Music, Comedy & Arts CIC",Furthest From The Sea Festival 2024,"£29,550",10-Apr-24,April,Q1,Midlands,Amber Valley,Combined arts,"£30,000 and below",
Friends of Ropner Park,Eid Fusion Festival,"£13,500",10-Apr-24,April,Q1,North,County Durham,Combined arts,"£30,000 and below",
GreenHouse Theatre Project,The Station,"£49,999",10-Apr-24,April,Q1,Midlands,Stoke-on-Trent,Theatre,"Above £30,000",
Calne Pocket Park and Community Gardens,Priestley250,"£8,790",10-Apr-24,April,Q1,South West,Wiltshire,Combined arts,"£30,000 and below",
Steve Tasane,Spitting Bricks,"£20,139",10-Apr-24,April,Q1,London,Greenwich,Literature,"£30,000 and below",
Going South,South Asian Stage at Glastonbury 2024,"£28,600",15-Apr-24,April,Q1,Midlands,Birmingham,Music,"£30,000 and below",Supporting Grassroots Music
AVA,HIA Wildflower Camp,"£20,769",15-Apr-24,April,Q1,Midlands,Birmingham,Music,"£30,000 and below",Supporting Grassroots Music
Marsden Mechanics,Marsden Mechanics Music Programme 2024,"£18,883",15-Apr-24,April,Q1,North,Kirklees,Music,"£30,000 and below",Supporting Grassroots Music
TMR Events Ltd,Parwaaz: new flights,"£29,911",15-Apr-24,April,Q1,London,Brent,Music,"£30,000 and below",Supporting Grassroots Music
535 Multimedia (overseas) Company Limited,The 35th of May,"£29,139",15-Apr-24,April,Q1,London,Islington,Theatre,"£30,000 and below",
Adam Blackwood,The Shipley Showcase Series,"£14,103",15-Apr-24,April,Q1,North,North Yorkshire,Music,"£30,000 and below",Supporting Grassroots Music
Blank Studios LLP,Recording Studios growth & development,"£17,126",15-Apr-24,April,Q1,North,Newcastle upon Tyne,Music,"£30,000 and below",Supporting Grassroots Music
Amber Trust,Braille Music,"£15,442",15-Apr-24,April,Q1,London,Wandsworth,Music,"£30,000 and below",
Fandangos Production LTD,WrdeUp Grass Roots,"£19,642",15-Apr-24,April,Q1,South West,Swindon,Music,"£30,000 and below",Supporting Grassroots Music
Cloud X (Idiot Savant Ltd),Live Music Series: Black History Month,"£29,398",15-Apr-24,April,Q1,London,Lambeth,Music,"£30,000 and below",Supporting Grassroots Music
Eastern Ear,YARMONICS 2024 - residencies,"£31,750",15-Apr-24,April,Q1,South East,Norwich,Music,"£30,000 and below",Supporting Grassroots Music
gary mayall,Gaz's Rockin Blues Notting Hill Carnival Project,"£16,750",15-Apr-24,April,Q1,London,Kensington and Chelsea,Combined arts,"£30,000 and below",
The Bee Friendly Trust,The Skep Project,"£6,087",15-Apr-24,April,Q1,London,Westminster,Visual arts,"£30,000 and below",
paul michelmore,The Harrison: revitalising & evolving the UK Folk & Roots music scene,"£39,699",15-Apr-24,April,Q1,London,Camden,Music,"Above £30,000",Supporting Grassroots Music
Jazanne Arts,Musical Memories Tour,"£31,800",15-Apr-24,April,Q1,London,Enfield,Combined arts,"£30,000 and below",
Punam Ramchurn,Circle Black,"£29,375",16-Apr-24,April,Q1,North,Bury,Literature,"£30,000 and below",
Jack Sibley,Crescen-go: An immersive walking adventure,"£15,662",16-Apr-24,April,Q1,North,Leeds,Visual arts,"£30,000 and below",
One Tenth Human,Curious Investigators Autumn Tour 2024,"£27,253",16-Apr-24,April,Q1,North,Lancaster,Theatre,"£30,000 and below",
Breach LLP,After the Act Midscale Development and Tour,"£101,022",16-Apr-24,April,Q1,London,Camden,Theatre,"Above £30,000",
Crowded Room,OUTPATIENT,"£29,921",16-Apr-24,April,Q1,South West,Gosport,Theatre,"£30,000 and below",
Horse Box Theatre CIC,The Horse's Mouth- R&D for Opening Season at Department,"£29,500",16-Apr-24,April,Q1,South West,Isle of Wight,Theatre,"£30,000 and below",
Theatre Sans Frontieres,The Animal Olympics Paris 2024,"£11,014",16-Apr-24,April,Q1,North,Northumberland,Theatre,"£30,000 and below",
Alexander Duff,The Bridge 4 UK Hip Hop Festival,"£14,000",16-Apr-24,April,Q1,North,Gateshead,Music,"£30,000 and below",
Andrea Heaton,Penelope: The Good Wife R&D,"£25,930",16-Apr-24,April,Q1,North,Leeds,Theatre,"£30,000 and below",
Nichla Smith,'The Beast' Tour & Album,"£13,000",16-Apr-24,April,Q1,North,Manchester,Music,"£30,000 and below",
Ugly Bucket,STUFFED 2024 Development,"£34,805",16-Apr-24,April,Q1,North,Liverpool,Theatre,"£30,000 and below",
Adam York Gregory,Foundation / Rewrite,"£8,800",16-Apr-24,April,Q1,North,Lancaster,Visual arts,"£30,000 and below",
Oliver Bishop,Tales From The Lifeboat,"£19,792",16-Apr-24,April,Q1,North,Bury,Theatre,"£30,000 and below",
Lynn Stewart-Taylor,SignGigs,"£45,000",16-Apr-24,April,Q1,South West,South Gloucestershire,Combined arts,"£30,000 and below",
Raymond Hunt,QE2: Queer Production,"£28,920",16-Apr-24,April,Q1,London,Waltham Forest,Combined arts,"£30,000 and below",
Ann Wood,Art of Oesophageal Cancer,"£1,200",16-Apr-24,April,Q1,North,Warrington,Visual arts,"£30,000 and below",
Emma Clark,RESUBMISSION: The Shivers - School & Community Co-Creation Project & Touring Show,"£29,050",17-Apr-24,April,Q1,London,Waltham Forest,Theatre,"£30,000 and below",
Charlotte Sodderland,Brave New Brain,"£27,000",17-Apr-24,April,Q1,London,Tower Hamlets,Combined arts,"£30,000 and below",
Black Dog Theatre Creation,Black Dog Theatre Creation Bury St Edmunds,"£6,500",17-Apr-24,April,Q1,South East,Braintree,Theatre,"£30,000 and below",
Samantha Glynn,20th Anniversary of Coastal Wardens Art Exhibition,"£1,485",17-Apr-24,April,Q1,South East,Thanet,Visual arts,"£30,000 and below",
Arts Uplift,Navigating Margaret,"£58,221",17-Apr-24,April,Q1,Midlands,Stratford-on-Avon,Theatre,"Above £30,000",
Jadwiga Bronte,Let's Talk About Rape,"£24,000",17-Apr-24,April,Q1,London,Kingston upon Thames,Visual arts,"£30,000 and below",
Faye Stoeser,Developing and Producing 'Splice',"£20,820",17-Apr-24,April,Q1,South East,Elmbridge,Dance,"£30,000 and below",
Chalk Line Theatre,The Chaos That Has Been and Will No Doubt Return,"£22,928",17-Apr-24,April,Q1,South East,Luton,Theatre,"£30,000 and below",
First Light Events Limited,"En Masse - free daytime electronic music festival with programme of talks, workshops and exhibition","£14,032",17-Apr-24,April,Q1,London,Hackney,Music,"£30,000 and below",
Vidya Thirunarayan,Holy Dirt,"£29,995",17-Apr-24,April,Q1,South East,Arun,Dance,"£30,000 and below",
BloominArts,Creative Access Project,"£43,010",17-Apr-24,April,Q1,South East,Tandridge,Combined arts,"£30,000 and below",
Sarah Maple,Breakfast Scene,"£28,000",17-Apr-24,April,Q1,South East,Crawley,Visual arts,"£30,000 and below",
Brockwell Live,Latin Village @ Lambeth Country Show 2024,"£29,608",17-Apr-24,April,Q1,London,Camden,Combined arts,"£30,000 and below",
Upstart Projects,Creative Pathways for young people,"£52,462",17-Apr-24,April,Q1,Midlands,Shropshire,Combined arts,"Above £30,000",
Half a String,The Puppet Van 2024,"£25,210",17-Apr-24,April,Q1,South East,Canterbury,Theatre,"£30,000 and below",
MAKEDA MAKES,Soundgyal,"£28,000",17-Apr-24,April,Q1,London,Waltham Forest,Music,"£30,000 and below",
InHouse Records,InHouse Records: Equipment Costs For HMPPS Prisons,"£30,000",17-Apr-24,April,Q1,South East,Brighton and Hove,Music,"£30,000 and below",
National Youth Ballet,NYB All In!,"£29,967",17-Apr-24,April,Q1,South East,Horsham,Dance,"£30,000 and below",
Zakiyyah Deen,Why A Black Women Will Never Be Prime Minister,"£23,000",18-Apr-24,April,Q1,London,Croydon,Theatre,"£30,000 and below",
Reaction Theatre Makers,FEAST 2024,"£30,000",18-Apr-24,April,Q1,Midlands,Malvern Hills,Theatre,"£30,000 and below",
Soothsayers,Youthsayers Creating New Work,"£29,500",18-Apr-24,April,Q1,London,Lambeth,Music,"£30,000 and below",
Holly Stevenson,Tracing the Irretraceable,"£12,334",18-Apr-24,April,Q1,London,Greenwich,Visual arts,"£30,000 and below",Unlocking Collections
Helen Epega,"Future Opera: Inspiring Creativity, Inclusion and Audience Engagement Across Diverse Cultures with Innovative Technology","£29,700",18-Apr-24,April,Q1,London,Brent,Music,"£30,000 and below",
Rebecca Prentice,HOW I LEARNED TO SWIM,"£18,198",18-Apr-24,April,Q1,London,Camden,Theatre,"£30,000 and below",
RedCape Theatre,Making and Educating: RedCape Theatre’s The Luminous and Book of Devising,"£48,500",18-Apr-24,April,Q1,South East,Reading,Theatre,"Above £30,000",
Circus Hub,Lost Performers Club,"£34,568",18-Apr-24,April,Q1,Midlands,Nottingham,Theatre,"£30,000 and below",
Alice Marshall (Vale),Tender Steps,"£29,613",18-Apr-24,April,Q1,Midlands,Broxtowe,Dance,"£30,000 and below",
Spinning Wheel Theatre,Five Little Ducks New Wolsey Theatre Associate Artist Co-Production,"£66,819",18-Apr-24,April,Q1,South East,Mid Suffolk,Theatre,"Above £30,000",
Cecilia Charlton,Artist residency and teaching opportunity at West Dean College,"£1,500",18-Apr-24,April,Q1,London,Lewisham,Visual arts,"£30,000 and below",
Libraries & Arts - Staffordshire County Council,Festival of Brilliant,"£28,500",18-Apr-24,April,Q1,Midlands,Stafford,Libraries,"£30,000 and below",Universal Library Offers
Shropshire Libraries,"Shropshire Libraries, Young Writers Groups Expansion Programme, 2024-26","£19,987",18-Apr-24,April,Q1,Midlands,Shropshire,Literature,"£30,000 and below",
Andrew Howe,The Landing Project,"£29,985",18-Apr-24,April,Q1,Midlands,Shropshire,Visual arts,"£30,000 and below",
BMBC Childrens Services,Festival of Joy,"£65,046",19-Apr-24,April,Q1,North,Barnsley,Combined arts,"Above £30,000",
Pyramid of Arts,BCTBA2,"£38,801",19-Apr-24,April,Q1,North,Leeds,Visual arts,"Above £30,000",
Ellie Harrison,Polite Rebellion: Centring Access,"£47,570",19-Apr-24,April,Q1,North,Leeds,Museums,"Above £30,000",Unlocking Collections
Great Northern Events (NW) Ltd,Great Northern Contemporary Craft Fair 2024-25,"£49,951",19-Apr-24,April,Q1,North,Stockport,Visual arts,"Above £30,000",
Redcar Borough Council Events Team,Between the Tides 2024,"£73,000",19-Apr-24,April,Q1,North,Redcar and Cleveland,Combined arts,"Above £30,000",
Sunderland MAC Trust,Summer Streets Festival 2024 - 10 Years of Summer Streets,"£70,000",19-Apr-24,April,Q1,North,Sunderland,Combined arts,"Above £30,000",
Louise Orwin,FAMEHUNGRY TOUR 2024,"£77,365",23-Apr-24,April,Q1,South East,Wealden,Theatre,"Above £30,000 - Over £30k Touring project",
Knights Youth Centre,2024 Clapham Youth Carnival,"£28,393",23-Apr-24,April,Q1,London,Lambeth,Combined arts,"£30,000 and below",
Emmerson & Ward,Love It If We Beat Them by Rob Ward - UK Tour,"£72,317",23-Apr-24,April,Q1,North,Stockport,Theatre,"Above £30,000 - Over £30k Touring project",
Protein Dance Ltd,The Little Prince 1,"£27,606",23-Apr-24,April,Q1,London,Greenwich,Dance,"£30,000 and below",
Playing ON,Flock Tour including rich engagement work,"£77,377",23-Apr-24,April,Q1,London,Lewisham,Theatre,"Above £30,000 - Over £30k Touring project",
PRS for Music Foundation,New Music Biennial 2025,"£146,000",23-Apr-24,April,Q1,London,Southwark,Music,"Above £30,000 - Over £30k Touring project",
Utopia Theatre Limited,Anna Hibiscus' Song,"£78,947",23-Apr-24,April,Q1,North,Sheffield,Theatre,"Above £30,000 - Over £30k Touring project",
Nathaniel Bury,28 Years of Mo Better Cutz,"£5,450",23-Apr-24,April,Q1,London,Barnet,Visual arts,"£30,000 and below",
Peckham Digital CIC,Peckham Digital 3,"£24,237",23-Apr-24,April,Q1,London,Camden,Combined arts,"£30,000 and below",
Feelgood Theatre Productions,Slave: A Question of Freedom 2023,"£48,300",23-Apr-24,April,Q1,North,Trafford,Theatre,"Above £30,000 - Over £30k Touring project",
Livia Rita Heim,DYSTOPIA WETLANDS INTERNATIONAL TOUR,"£35,211",23-Apr-24,April,Q1,South East,Bedford,Combined arts,"Above £30,000 - Over £30k Touring project",
Sophie Nuezel,Stories of a Watersprite Tour (RESUB with embedded access),"£97,872",23-Apr-24,April,Q1,London,Hackney,Theatre,"Above £30,000 - Over £30k Touring project",
East City Films,In Pursuit Of Repetitive Beats - UK Tour V2,"£222,479",23-Apr-24,April,Q1,London,Islington,Combined arts,"Above £30,000 - Over £30k Touring project",
DeNada Dance Theatre,Mariposa - a queer tragedy inspired by Puccini's Madame Butterfly,"£97,189",23-Apr-24,April,Q1,North,Leeds,Dance,"Above £30,000 - Over £30k Touring project",
Katherine Hurley,You're SO F**king Croydon premiere and tour,"£30,050",23-Apr-24,April,Q1,London,Croydon,Theatre,"£30,000 and below",
Jo Bannon,The Dirty Work,"£74,560",23-Apr-24,April,Q1,South West,"Bristol, City of",Theatre,"Above £30,000 - Over £30k Touring project",
Jonathon Crewe,Ordnance,"£2,886",23-Apr-24,April,Q1,London,Hammersmith and Fulham,Theatre,"£30,000 and below",
Dante Or Die,Odds On on The High Street,"£79,009",23-Apr-24,April,Q1,London,Westminster,Theatre,"Above £30,000 - Over £30k Touring project",
BloomInArt Northeast CIC,Development & Creation : How Long Is A Piece Of String,"£29,000",24-Apr-24,April,Q1,North,Hartlepool,Visual arts,"£30,000 and below",
Donald A John,Black - A Study in Colourism,"£28,500",24-Apr-24,April,Q1,South West,Southampton,Visual arts,"£30,000 and below",
Creative Harbour,The Oyster House,"£29,950",24-Apr-24,April,Q1,South West,Portsmouth,Theatre,"£30,000 and below",
Make/Sense Theatre,7Sense - Skybound,"£32,891",24-Apr-24,April,Q1,South East,Reading,Theatre,"£30,000 and below",
Friends of Cotteridge Park CIO,CoCOMAD 2024,"£25,100",24-Apr-24,April,Q1,Midlands,Birmingham,Combined arts,"£30,000 and below",
Ampersand Projects,We Forest Folk 2024,"£29,400",24-Apr-24,April,Q1,Midlands,Birmingham,Combined arts,"£30,000 and below",
Read Now Write Now,Made in Wirral 2024,"£13,916",24-Apr-24,April,Q1,North,Wirral,Literature,"£30,000 and below",Universal Library Offers
Leamington Art in the Park Festival,Art in the Park 2024 Festival,"£29,335",24-Apr-24,April,Q1,Midlands,Warwick,Combined arts,"£30,000 and below",
Gravesham Network Development CIC,GYG Youth Arts 2024,"£28,885",24-Apr-24,April,Q1,South East,Gravesham,Combined arts,"£30,000 and below",
YMCA Teesdale,Pride in Teesdale,"£18,782",24-Apr-24,April,Q1,North,County Durham,Combined arts,"£30,000 and below",
Peepul Centre,Peepul Arts Mela 2024,"£29,956",24-Apr-24,April,Q1,Midlands,Leicester,Combined arts,"£30,000 and below",
Millom Discovery Centre,The real men and women of the mountains,"£25,985",24-Apr-24,April,Q1,North,Cumberland,Museums,"£30,000 and below",Unlocking Collections
Ipswich Windrush Society,Windrush Day 2024 (Resubmission),"£30,260",24-Apr-24,April,Q1,South East,Ipswich,Combined arts,"£30,000 and below",
Dora Colquhoun,"The Lodger 2024- Next Stage Research and Development with a focus on further embedding creative access, creative access workshops and an initial national tour","£38,447",24-Apr-24,April,Q1,North,Liverpool,Theatre,"£30,000 and below",
Karma Dance (Mental Health & Trauma) CIC,Diminished - Research,"£29,982",24-Apr-24,April,Q1,North,Leeds,Dance,"£30,000 and below",
Kathryn Fox,Bigger on the Inside,"£15,350",24-Apr-24,April,Q1,North,North Tyneside,Literature,"£30,000 and below",
Joe Garwood,311 Music Collective - DIY Creative Community Showcase & Workshops,"£7,000",24-Apr-24,April,Q1,London,Haringey,Music,"£30,000 and below",
Dulce Penha Lopes,"Different, Beautiful and Free","£29,960",24-Apr-24,April,Q1,South East,South Norfolk,Combined arts,"£30,000 and below",
Fatih Goeksu,The Manly Show,"£26,901",24-Apr-24,April,Q1,Midlands,Nottingham,Theatre,"£30,000 and below",
50+ Contemporary Dance Sheffield,The Fallen,"£26,931",24-Apr-24,April,Q1,North,Sheffield,Dance,"£30,000 and below",
Alpana Sengupta-Taylor,Bhabishya - A dance journey to the future,"£19,500",24-Apr-24,April,Q1,South East,Fenland,Dance,"£30,000 and below",
Quest Music Services,Thurrock & Basildon Urban Rhythms,"£25,000",24-Apr-24,April,Q1,South East,Thurrock,Music,"£30,000 and below",
Feedback Theatre CIC,LUNA Project,"£28,054",24-Apr-24,April,Q1,London,Lambeth,Theatre,"£30,000 and below",
Sidley Community Association,Sidley Festival 2024,"£30,000",24-Apr-24,April,Q1,South East,Rother,Combined arts,"£30,000 and below",
Staffordshire Association for Black Lives Equality CIC,'Children of the Sun' Programme & Celebration,"£30,000",24-Apr-24,April,Q1,Midlands,Stoke-on-Trent,Combined arts,"£30,000 and below",
Trans Pride Hastings,Trans Pride Hastings 2024,"£14,500",24-Apr-24,April,Q1,South East,Hastings,Combined arts,"£30,000 and below",
Circa69 Ltd,Artists' Ethical Use of Ai Residency Programme,"£29,963",24-Apr-24,April,Q1,South East,Brighton and Hove,Combined arts,"£30,000 and below",
Jellyfish Theatre,The Dragon Wagon,"£22,775",24-Apr-24,April,Q1,South West,Somerset,Theatre,"£30,000 and below",
Strange Cargo,British Folklore and Ritual Traditions Charivari,"£22,000",24-Apr-24,April,Q1,South East,Folkestone and Hythe,Combined arts,"£30,000 and below",
Samuel Bates,Sessions,"£21,387",24-Apr-24,April,Q1,North,Nuneaton and Bedworth,Theatre,"£30,000 and below",
Maatin Patel,Statues – Development and Bush Theatre run,"£29,923",24-Apr-24,April,Q1,London,Islington,Theatre,"£30,000 and below",
Children's & Parents Carnival Association,Realistic Education Diploma,"£16,000",25-Apr-24,April,Q1,London,Kensington and Chelsea,Combined arts,"£30,000 and below",
Initiative.dkf,IDUY? National Tour,"£32,000",25-Apr-24,April,Q1,London,Merton,Theatre,"£30,000 and below",
Robert Heath,Cacophnay Arkestra present Black & Gold/Preston is the Place for me.,"£24,391",1-May-24,May,Q1,North,Fylde,Combined arts,"£30,000 and below",
