Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
GoCreate Taunton Community Interest Company,Taunton Live Arts Festival 2021,"£14,500",11-Aug-20,August,Q2,South West,Somerset West and Taunton,Combined arts,"£15,000 and below",
Coppice Theatre,Jack Frost 4 - Outdoor,"£14,950",11-Aug-20,August,Q2,South West,Cornwall,Theatre,"£15,000 and below",
Euphrosyne Andrews,Plymouth Art Weekender,"£1,208",11-Aug-20,August,Q2,South West,Cornwall,Visual arts,"£15,000 and below",
Ina Cole,Sculptors on Sculpture,"£4,900",11-Aug-20,August,Q2,South West,Mendip,Visual arts,"£15,000 and below",
Nicola Werenowska,THE RAINBOW,"£9,298",12-Aug-20,August,Q2,South East,Colchester,Theatre,"£15,000 and below",
Dominic Nelson-Ashley,Speakertruth,"£15,000",12-Aug-20,August,Q2,North,Stockton-on-Tees,Literature,"£15,000 and below",
Carolyn Lilly,Digital Dance: Afro Resilience and Retrospective,"£10,975",12-Aug-20,August,Q2,London,Hammersmith and Fulham,Dance,"£15,000 and below",
Emily Barley,Innovating participatory theatre for children with limited arts access severely affected by COVID,"£14,972",12-Aug-20,August,Q2,North,Manchester,Theatre,"£15,000 and below",
Matthew Writtle,The River Meadow at the Pile of Stones,"£8,394",12-Aug-20,August,Q2,South East,Buckinghamshire,Visual arts,"£15,000 and below",
Robert Filby,"Research, development and production support for solo and group exhibitions 20/21","£13,800",12-Aug-20,August,Q2,South East,Norwich,Visual arts,"£15,000 and below",
Varvara Shavrova,Inna's Dream - Duxford,"£9,562",12-Aug-20,August,Q2,South East,Ireland,Visual arts,"£15,000 and below",
Rebecca Gwyther,Anna X Post-COVID development,"£6,422",12-Aug-20,August,Q2,South East,Waverley,Theatre,"£15,000 and below",
Paul Street,GHBoy - Southwark Playhouse,"£14,188",12-Aug-20,August,Q2,London,Newham,Theatre,"£15,000 and below",
Leoe & Hyde Ltd.,GUY: Digital Workshops and Post-Lockdown Remount,"£15,000",12-Aug-20,August,Q2,North,Bury,Theatre,"£15,000 and below",
Wayne Jackson,From Me To Us,"£10,853",12-Aug-20,August,Q2,North,Tameside,Visual arts,"£15,000 and below",
Cameron Dodds,Gooseworm/Wormgoose,"£1,000",12-Aug-20,August,Q2,London,Greenwich,Music,"£15,000 and below",
Ennerdale Promotions CIC,Great Artists -Virtual Venue,"£15,000",12-Aug-20,August,Q2,North,Copeland,Music,Grassroots Music,
Cheryl Frances-Hoad,Learning to write for the accordion,"£3,800",12-Aug-20,August,Q2,South East,Bedford,Music,"£15,000 and below",
Seagull Rep,EMMA R&D,"£14,507",12-Aug-20,August,Q2,South East,East Suffolk,Theatre,"£15,000 and below",
Museum of Ordinary People,Newhaven 'Art Walk',"£8,175",12-Aug-20,August,Q2,South East,Brighton and Hove,Museums,"£15,000 and below",
Nigel Price,Nigel Price - 2020 TOUR,"£15,000",12-Aug-20,August,Q2,South East,Epsom and Ewell,Music,"£15,000 and below",
Karen Goddard,Rural isolation young people's R&D theatre project,"£12,700",12-Aug-20,August,Q2,South East,East Suffolk,Theatre,"£15,000 and below",
Susanne Mojisola Adebayo,STARS: Getting Production Ready,"£19,500",12-Aug-20,August,Q2,London,Greenwich,Theatre,"£15,000 and below",
Richard Stott,Right Hand Man - Performance and Workshop Tour 2020,"£15,408",12-Aug-20,August,Q2,North,East Riding of Yorkshire,Theatre,"£15,000 and below",
Olivia Munk,Virtual Collaborators Festival - Waltham Forest,"£14,904",12-Aug-20,August,Q2,London,Lambeth,Theatre,"£15,000 and below",
Michael Flood,900 Years - A Journey Through Time - Brazen Souls and The Smugglers' Court Interim Project,"£15,000",12-Aug-20,August,Q2,South East,Lewes,Music,"£15,000 and below",
South Street Arts Centre (Reading Borough Council),SITELINES presents 'On Track' & 'Behind Closed Doors',"£14,000",12-Aug-20,August,Q2,South East,Reading,Theatre,"£15,000 and below",
Michael Baker,Michael Baker Recording with Luke Potashnik,"£15,000",12-Aug-20,August,Q2,South East,Wealden,Music,"£15,000 and below",
Read Now Write Now,"Novels that Shaped Our World, Creative Writing Workshops","£10,210",12-Aug-20,August,Q2,North,Wirral,Literature,"£15,000 and below",
Zoe Marriott,"Buying time to re-evalute, research, and write","£15,000",12-Aug-20,August,Q2,North,North East Lincolnshire,Literature,"£15,000 and below",
Sophia Hatfield,You Don't Know me But... The Telephone Theatre,"£7,616",12-Aug-20,August,Q2,North,Tameside,Theatre,"£15,000 and below",
PRISCILLA MASALA MOMPEKU,CILLA RAIE EP PROJECT,"£10,000",12-Aug-20,August,Q2,London,Haringey,Music,"£15,000 and below",
Lughole,Lughole - Grassroots Fund,"£15,000",12-Aug-20,August,Q2,North,Sheffield,Music,Grassroots Music,
Paul Whitfield,Writing an Environmental Play for Young Audiences,"£5,500",12-Aug-20,August,Q2,North,Sheffield,Theatre,"£15,000 and below",
Mark Finbow,KILLING NO MURDER R+D,"£14,817",12-Aug-20,August,Q2,South East,Norwich,Theatre,"£15,000 and below",
Lola Maury,LAVAELO - R&D for a dance performance for young audiences,"£9,253",12-Aug-20,August,Q2,London,Camden,Dance,"£15,000 and below",
Dot Howard,Performative Audio (re-submission),"£15,000",12-Aug-20,August,Q2,South East,Norwich,Visual arts,"£15,000 and below",
Bob Bicknell-Knight,isthisit?,"£12,100",12-Aug-20,August,Q2,London,Southwark,Visual arts,"£15,000 and below",
Annie Godefroy,Research and development for 'Swamplands',"£5,924",12-Aug-20,August,Q2,London,Islington,Theatre,"£15,000 and below",
Rule of Three Arts Ltd,A Field of Flax in Linacre,"£15,000",12-Aug-20,August,Q2,North,Sefton,Visual arts,"£15,000 and below",
MassHysteria,MassHysteria commissioning Hagit Yakira,"£13,000",12-Aug-20,August,Q2,London,Lewisham,Dance,"£15,000 and below",
Joseph Yvan Toonga,R&D for outdoor Hip Hop work Born to Protest,"£14,590",12-Aug-20,August,Q2,London,Newham,Dance,"£15,000 and below",
steven parker,War Of Words,"£14,732",12-Aug-20,August,Q2,South East,Brighton and Hove,Music,"£15,000 and below",
Sarah Poekert,Thrive R&D and Reimagining 2020,"£5,170",12-Aug-20,August,Q2,London,Haringey,Dance,"£15,000 and below",
This is Wyld,Viral Futures,"£14,980",12-Aug-20,August,Q2,South East,Brighton and Hove,Visual arts,"£15,000 and below",
LAStheatre,ROAR,"£14,998",13-Aug-20,August,Q2,London,Lewisham,Theatre,"£15,000 and below",
Benjamin Street,Pizza Club Promotions / Voodoo's Showroom,"£14,850",13-Aug-20,August,Q2,South East,South Norfolk,Music,Grassroots Music,
Krishen Kanadia,अश्व / AŚVA,"£14,500",13-Aug-20,August,Q2,London,Hounslow,Visual arts,"£15,000 and below",
Lateralize Ltd,Hampstead Jazz Club,"£14,950",13-Aug-20,August,Q2,London,Camden,Music,Grassroots Music,
Mukul and Ghetto Tigers,Diamond Babu’s Indian Bioscope,"£14,890",13-Aug-20,August,Q2,London,Tower Hamlets,Theatre,"£15,000 and below",
Hugo Chiarella,Back From Reality R&D,"£14,748",13-Aug-20,August,Q2,London,Hammersmith and Fulham,Theatre,"£15,000 and below",
Laura Hopkins,Brutal Arithmetic,"£12,000",13-Aug-20,August,Q2,London,Haringey,Theatre,"£15,000 and below",
Ian Mylne,Perfect Sphere - R&D,"£13,500",13-Aug-20,August,Q2,London,Westminster,Combined arts,"£15,000 and below",
Damilola Rowe,Canvas,"£14,390",13-Aug-20,August,Q2,London,Southwark,Music,"£15,000 and below",
Caspa Productions CIC,Squad Goals,"£15,000",13-Aug-20,August,Q2,London,Havering,Theatre,"£15,000 and below",
Katherine Haywood,A New Kind of Normal,"£12,953",13-Aug-20,August,Q2,London,Haringey,Combined arts,"£15,000 and below",
Brian Dillon,Affinities,"£15,000",13-Aug-20,August,Q2,London,City of London,Literature,"£15,000 and below",
Ailin Conant,Amaterasu: Out of the Cave,"£15,000",13-Aug-20,August,Q2,London,Haringey,Theatre,"£15,000 and below",
World Village Project,MondoMusic,"£5,461",17-Aug-20,August,Q2,South West,Isle of Wight,Music,"£15,000 and below",
Peter James Stanley,Organisational Development for emma + pj,"£15,000",17-Aug-20,August,Q2,South West,East Hampshire,Theatre,"£15,000 and below",
Seamas Carey,Pagan Outdoor Pandemonium,"£15,000",17-Aug-20,August,Q2,South West,Cornwall,Combined arts,"£15,000 and below",
Tom Taffinder,The Taff Duo - Making Lockdown Music Live,"£10,000",17-Aug-20,August,Q2,South West,Cornwall,Music,"£15,000 and below",
James Wilton,"Traces, a new dance film commissioned by Octagon Yeovil, and the organisational development of James Wilton Dance","£15,000",17-Aug-20,August,Q2,South West,Cornwall,Dance,"£15,000 and below",
The Power House (Poole) Ltd,The COIN Project,"£7,500",17-Aug-20,August,Q2,South West,"Bournemouth, Christchurch and Poole",Visual arts,"£15,000 and below",
Angela Chadwick,Editing of UNGRATEFUL,"£13,940",17-Aug-20,August,Q2,South West,East Hampshire,Literature,"£15,000 and below",
Kevin Howlett,Bandit 27 October 2020,"£5,595",17-Aug-20,August,Q2,South West,Stroud,Music,"£15,000 and below",
Alison Neighbour,Beacons Phase 2,"£14,990",17-Aug-20,August,Q2,South East,Folkestone and Hythe,Combined arts,"£15,000 and below",
Richard Chappell,'Present With Me' Autumn 2020 and Spring 2021 Site Responsive Tour,"£14,930",17-Aug-20,August,Q2,South West,Torbay,Dance,"£15,000 and below",
Fauna Circus,Fauna Circus Macro,"£12,227",17-Aug-20,August,Q2,South West,Cheltenham,Theatre,"£15,000 and below",
Mark Cassidy,Schools Tour 2020 (2),"£7,656",17-Aug-20,August,Q2,South West,East Devon,Theatre,"£15,000 and below",
Belinda Lazenby,Dementia goes digital,"£14,500",17-Aug-20,August,Q2,South West,Cornwall,Theatre,"£15,000 and below",
sam tucker,Super Cool Drawing Machine,"£12,000",17-Aug-20,August,Q2,South West,North Somerset,Music,"£15,000 and below",
Artspace Lifespace,We Are From Dust Sculpture Park,"£15,000",17-Aug-20,August,Q2,South West,"Bristol, City of",Visual arts,"£15,000 and below",
Theatre West,Zooming Ahead,"£12,580",17-Aug-20,August,Q2,South West,"Bristol, City of",Theatre,"£15,000 and below",
Nathan Filer,Mental health writing project,"£15,000",17-Aug-20,August,Q2,South West,"Bristol, City of",Literature,"£15,000 and below",
Far From The Norm,Preparing For A New Reality For The Company and Our Dance Artists,"£15,000",18-Aug-20,August,Q2,London,Kingston upon Thames,Dance,"£15,000 and below",
Kara Chamberlain,Head Case Research and Development,"£1,567",18-Aug-20,August,Q2,London,Lambeth,Theatre,"£15,000 and below",
Natalie Shiner,R&D Blackwater Mouth,"£11,338",18-Aug-20,August,Q2,London,Lambeth,Visual arts,"£15,000 and below",
Salma Zulfiqar,ARTconnects for Solidarity,"£7,950",18-Aug-20,August,Q2,Midlands,Solihull,Visual arts,"£15,000 and below",
Kevin Jenkins,Incorporating 3D animation within theatre,"£14,668",18-Aug-20,August,Q2,Midlands,Amber Valley,Theatre,"£15,000 and below",
Liga Orlovska,Braunstone's Natural Galeries,"£3,250",18-Aug-20,August,Q2,Midlands,Leicester,Combined arts,"£15,000 and below",
Benjamin Mastericks,Choosing Children R&D - Inclusive and Accessible Immersive Theatre Prototype,"£15,960",18-Aug-20,August,Q2,Midlands,Charnwood,Theatre,"£15,000 and below",
Jo Franklin,Jo Franklin Space Gothic,"£13,845",18-Aug-20,August,Q2,London,Bromley,Literature,"£15,000 and below",
Katy Lipson,SOVIET ZION,"£14,999",18-Aug-20,August,Q2,London,Islington,Theatre,"£15,000 and below",
Mukta Chakravarty,CANVAS STORY : Narrating British Bangladeshi cultural heritage to enhance cultural resilience,"£7,948",18-Aug-20,August,Q2,London,Redbridge,Combined arts,"£15,000 and below",
Himali Soin,"no other world, no other shore","£13,174",18-Aug-20,August,Q2,London,Tower Hamlets,Combined arts,"£15,000 and below",
Christopher Hanson,Clear Colours,"£10,500",18-Aug-20,August,Q2,Midlands,Wolverhampton,Visual arts,"£15,000 and below",
Caroline Kraabel,"Caroline Kraabel: Going Outside, staying in. Development, film and performance","£3,500",18-Aug-20,August,Q2,London,Lambeth,Music,"£15,000 and below",
Mary Hurrell,Body Sculptures 2,"£8,608",18-Aug-20,August,Q2,London,Hackney,Visual arts,"£15,000 and below",
London Borough of Tower Hamlets,A Season of Bangla Drama 2020 -  Home Seasonning,"£15,000",18-Aug-20,August,Q2,London,Tower Hamlets,Theatre,"£15,000 and below",
Radiophonic Workshop,Oram Awards 2020,"£13,100",18-Aug-20,August,Q2,London,Westminster,Music,"£15,000 and below",
Ranti Bamgbala,Curative Clay,"£13,634",18-Aug-20,August,Q2,London,Islington,Visual arts,"£15,000 and below",
Libby Heaney,"Figures in Limbo: sound, narrative and 3D scans","£5,995",18-Aug-20,August,Q2,London,Westminster,Visual arts,"£15,000 and below",
Kai Lab,Field of Sounds,"£15,000",18-Aug-20,August,Q2,London,Hackney,Visual arts,"£15,000 and below",
bettina gracias,Jakinta,"£2,720",18-Aug-20,August,Q2,London,Islington,Theatre,"£15,000 and below",
Angela Whittaker,Connected skies: solo series challenge,"£14,960",18-Aug-20,August,Q2,Midlands,Stafford,Music,"£15,000 and below",
2Funky Arts,And Still I Rise,"£15,000",18-Aug-20,August,Q2,Midlands,Leicester,Music,"£15,000 and below",
Play On,Play On  - Project Macbeth,"£14,514",18-Aug-20,August,Q2,London,Southwark,Theatre,"£15,000 and below",
Rebekah Dean,Briefly IN TRANSIT,"£4,050",18-Aug-20,August,Q2,London,Barnet,Visual arts,"£15,000 and below",
Anaïs Kane,Anaïs Debut ALBUM,"£15,000",18-Aug-20,August,Q2,London,Hackney,Music,"£15,000 and below",
Elena Thomas,Drawing Songs (2),"£16,500",18-Aug-20,August,Q2,Midlands,Dudley,Visual arts,"£15,000 and below",
Brolly Productions CIC,The Stopping Place,"£14,658",18-Aug-20,August,Q2,London,Barnet,Music,"£15,000 and below",
Badapple Theatre Company,To Boldly Go,"£14,998",19-Aug-20,August,Q2,North,Harrogate,Theatre,"£15,000 and below",
WordForWordTheatre,Socially-Minded Theatre: when verbatim theatre and the #MeToo Movement unite,"£2,134",19-Aug-20,August,Q2,North,Carlisle,Theatre,"£15,000 and below",
Anna Francis,The Living Garden,"£14,995",19-Aug-20,August,Q2,Midlands,Stoke-on-Trent,Visual arts,"£15,000 and below",
Thomas Grogan,Space Art+Tech: Thinking Like A Mountain,"£3,450",19-Aug-20,August,Q2,London,Lewisham,Visual arts,"£15,000 and below",
Kieran Lucas,The Future Project,"£14,871",19-Aug-20,August,Q2,London,Lambeth,Visual arts,"£15,000 and below",
House of Suarez,2020 Liverpool Vogue Ball,"£13,854",19-Aug-20,August,Q2,North,Liverpool,Dance,"£15,000 and below",
Troy Fairclough,BGI-Zoom,"£7,500",19-Aug-20,August,Q2,London,Lambeth,Literature,"£15,000 and below",
Grand Union Music Theatre Ltd,Reconcile Reimagine,"£14,822",19-Aug-20,August,Q2,London,Tower Hamlets,Music,"£15,000 and below",
Bridget Nkomo,as british as a watermelon,"£14,500",19-Aug-20,August,Q2,North,Manchester,Theatre,"£15,000 and below",
Ruth Levene,The Sheffield Wheat Experiment,"£14,860",19-Aug-20,August,Q2,North,Sheffield,Visual arts,"£15,000 and below",
Patricia Francis,The Art of Oppression,"£15,000",19-Aug-20,August,Q2,Midlands,Rushcliffe,Visual arts,"£15,000 and below",
Daniel Hill,The Snow Queen,"£12,600",19-Aug-20,August,Q2,South East,Chichester,Theatre,"£15,000 and below",
Brighton Early Music Festival,BREMF@home: an inclusive programme of digital events to reach audiences from all backgrounds and to develop skills and resilience within the sector in response to a new cultural landscape,"£14,700",19-Aug-20,August,Q2,South East,Brighton and Hove,Music,"£15,000 and below",
Lucien Johnson,My World,"£9,185",19-Aug-20,August,Q2,Midlands,Nottingham,Theatre,"£15,000 and below",
Dr Kamila Kuc,"Staging the Past, Claiming the Future: Displacement and Communities of Shared Imagination","£14,100",19-Aug-20,August,Q2,Midlands,Warwick,Visual arts,"£15,000 and below",
The Hamilton Project,LIT 2020,"£15,000",19-Aug-20,August,Q2,North,Cheshire East,Combined arts,"£15,000 and below",
Sophie Unwin,Mr Brightside - 70/30 Split New Work R&D,"£14,900",19-Aug-20,August,Q2,North,York,Dance,"£15,000 and below",
Metka Sumandl,Shadows,"£14,000",19-Aug-20,August,Q2,London,Islington,Visual arts,"£15,000 and below",
Wesley Stephenson,New Jazz and Improvised Music Recordings,"£7,804",19-Aug-20,August,Q2,North,Newcastle upon Tyne,Music,"£15,000 and below",
Nadim Jauffur,Flip The Stem Launch,"£14,805",19-Aug-20,August,Q2,North,Cheshire East,Music,"£15,000 and below",
Musa M'Boob,Interactive World Music Sharing 2,"£14,660",19-Aug-20,August,Q2,South East,Brighton and Hove,Music,"£15,000 and below",
Janet Boyd,Kathleen and Me,"£2,000",19-Aug-20,August,Q2,South East,Adur,Theatre,"£15,000 and below",
Hannah Stone,SHEWOLVES R&D,"£15,000",19-Aug-20,August,Q2,Midlands,Nottingham,Theatre,"£15,000 and below",
The Forum Music Studios,Diversifying Music Services to Support Artists and Sustainability,"£14,995",19-Aug-20,August,Q2,North,Darlington,Music,Grassroots Music,
Coventry Arts Collective,Take 5 for 2020,"£14,400",19-Aug-20,August,Q2,Midlands,Coventry,Visual arts,"£15,000 and below",
Alice Frecknall,Somewhere Something is Burning,"£7,870",19-Aug-20,August,Q2,London,Greenwich,Literature,"£15,000 and below",
New Diorama,Research & Development - New Show 2021,"£15,000",19-Aug-20,August,Q2,London,Camden,Theatre,"£15,000 and below",
Andrew Tomlinson,Brown Sugar,"£13,000",19-Aug-20,August,Q2,London,Haringey,Literature,"£15,000 and below",
Chloe Darke,Dirty Corset R&D,"£8,824",19-Aug-20,August,Q2,North,Sunderland,Theatre,"£15,000 and below",
Jessica Thanki-Grogan,Funnybones,"£20,939",19-Aug-20,August,Q2,London,Haringey,Theatre,"£15,000 and below",
Paper Rhino,Poetry Animation Resources,"£15,000",19-Aug-20,August,Q2,South East,Peterborough,Visual arts,"£15,000 and below",
Centre of Gravity,Centre of Gravity,"£15,000",19-Aug-20,August,Q2,South West,"Bristol, City of",Visual arts,"£15,000 and below",
Alexander Dennis,Dead Yard - Public Programme,"£5,499",19-Aug-20,August,Q2,South East,Luton,Visual arts,"£15,000 and below",
Savinder Bual,New Works Bual 2020,"£14,660",19-Aug-20,August,Q2,South East,North Hertfordshire,Visual arts,"£15,000 and below",
zoe martin,zoe martin,"£6,500",19-Aug-20,August,Q2,South East,East Suffolk,Visual arts,"£15,000 and below",
Bravo Productions,Castle Cabaret 2021,"£16,000",19-Aug-20,August,Q2,South East,Tonbridge and Malling,Theatre,"£15,000 and below",
Onyeka Igwe,So-Called,"£13,500",19-Aug-20,August,Q2,London,Hackney,Visual arts,"£15,000 and below",
Peter Copley,Fusion collaboration with Syrian musician in exile,"£9,450",19-Aug-20,August,Q2,South East,Brighton and Hove,Music,"£15,000 and below",
Invisible Folk,Lacemakers United,"£11,700",19-Aug-20,August,Q2,South East,Bedford,Theatre,"£15,000 and below",
ThisEgg,The Family Sex Show Development,"£18,966",19-Aug-20,August,Q2,South East,Cambridge,Theatre,"£15,000 and below",
Rob Annan,Platform,"£13,643",19-Aug-20,August,Q2,Midlands,Rushcliffe,Music,"£15,000 and below",
Gemma Lawrence,Sunnymead Court by Gemma Lawrence - at the Tristan Bates Theatre,"£14,940",19-Aug-20,August,Q2,London,Lewisham,Theatre,"£15,000 and below",
April Koyejo,Bubbles the Zebra Fish & The No.8 Bus,"£8,000",19-Aug-20,August,Q2,South East,Watford,Theatre,"£15,000 and below",
Peter Walker,Light of Hope,"£14,350",19-Aug-20,August,Q2,Midlands,Lichfield,Visual arts,"£15,000 and below",
Shamaila Burhan,Women In Uniform,"£14,895",19-Aug-20,August,Q2,North,Bradford,Visual arts,"£15,000 and below",
Jamie Wyld,Digital Culture Access Project,"£20,923",19-Aug-20,August,Q2,South East,Brighton and Hove,Visual arts,"£15,000 and below",
Oliver Briggs,STUDIO OB,"£5,537",19-Aug-20,August,Q2,South East,Thanet,Not discipline specific,"£15,000 and below",
Sohaya Visions,Lalon - heart of madness,"£14,990",19-Aug-20,August,Q2,South East,Crawley,Combined arts,"£15,000 and below",
Charlotte Marlow,“Folk Tales” opera development and showing,"£4,471",19-Aug-20,August,Q2,North,Calderdale,Music,"£15,000 and below",
Goblin Theatre,A Goblin Christmas Carol,"£14,900",19-Aug-20,August,Q2,South East,St Albans,Theatre,"£15,000 and below",
Naked Frank Theatre Company,Noel Festival 2020,"£14,874",19-Aug-20,August,Q2,South East,Dartford,Combined arts,"£15,000 and below",
Amartey Golding,Bring Me To Heal,"£15,900",19-Aug-20,August,Q2,South East,Brighton and Hove,Visual arts,"£15,000 and below",
Chinnerys,Chinnerys Alive,"£14,442",19-Aug-20,August,Q2,South East,Southend-on-Sea,Music,Grassroots Music,
Jemima Brown,At Greenham Common - Application-2,"£13,000",19-Aug-20,August,Q2,South East,Thanet,Visual arts,"£15,000 and below",
Thomas Page,Commonality - Research and Development,"£13,688",19-Aug-20,August,Q2,South East,West Oxfordshire,Dance,"£15,000 and below",
Jason mabana,INA-AMA,"£15,000",19-Aug-20,August,Q2,London,Richmond upon Thames,Dance,"£15,000 and below",
Little Angel Theatre,Reach For The Stars,"£14,996",19-Aug-20,August,Q2,London,Islington,Theatre,"£15,000 and below",
Miss Rachel Lawley,Arts council funding - circus workshops,"£15,000",19-Aug-20,August,Q2,South East,Dacorum,Theatre,"£15,000 and below",
Samantha Rycroft,BITTERSWEET/NORMAL,"£14,322",19-Aug-20,August,Q2,South East,Dacorum,Theatre,"£15,000 and below",
Kate Clanchy,The Poetry Possibility,"£14,072",19-Aug-20,August,Q2,South East,Oxford,Literature,"£15,000 and below",
Botis Seva,"Strategic Digital Research, Developing a Live Aesthetic Online","£10,900",19-Aug-20,August,Q2,London,Kingston upon Thames,Dance,"£15,000 and below",
natacha atlas,R&D - Natacha Atlas,"£15,000",25-Aug-20,August,Q2,South West,Fareham,Music,"£15,000 and below",
rebecca dodman wainwright,Co-designing Tasseography Textiles,"£6,000",25-Aug-20,August,Q2,South West,Cornwall,Visual arts,"£15,000 and below",
DOCA (Devizes Outdoor Celebratory Arts),Light Up Devizes - Winter Festival,"£9,174",25-Aug-20,August,Q2,South West,Wiltshire,Combined arts,"£15,000 and below",
Marcia Edwards,Chain Stories (Working Title),"£14,485",25-Aug-20,August,Q2,Midlands,Dudley,Dance,"£15,000 and below",
Peter Anderson,The Untold Story of Robert Wedderburn,"£12,260",25-Aug-20,August,Q2,South West,Cheltenham,Dance,"£15,000 and below",
The Gramophones Theatre Company,R&D Another Planet,"£14,968",25-Aug-20,August,Q2,Midlands,Nottingham,Theatre,"£15,000 and below",
Tennesa Young,ZENDAYA: The MongaBay Experience,"£15,000",25-Aug-20,August,Q2,Midlands,Birmingham,Theatre,"£15,000 and below",
Will Jackson,Yours Sincerely Outside Touring and Education Pack,"£4,707",25-Aug-20,August,Q2,Midlands,Birmingham,Theatre,"£15,000 and below",
Adam Carver,Disco Tea Party,"£15,225",25-Aug-20,August,Q2,Midlands,Birmingham,Theatre,"£15,000 and below",
Susan Merrick,Conversations with Aldershot Refocused,"£14,380",25-Aug-20,August,Q2,South West,Rushmoor,Visual arts,"£15,000 and below",
"Sandwell Museum & Arts Service, Sandwell Metropolitn Borough Council",Museum Musings,£734,25-Aug-20,August,Q2,Midlands,Sandwell,Museums,"£15,000 and below",
Simeon Moore,High Vibration,"£14,400",25-Aug-20,August,Q2,Midlands,Birmingham,Music,"£15,000 and below",
Rebecca Davies,Young Empress,"£9,568",25-Aug-20,August,Q2,Midlands,Dudley,Music,"£15,000 and below",
Spaniel in the Works Theatre Company,"Stroud Theatre Festival -Outside, Inside and Online","£8,500",25-Aug-20,August,Q2,South West,Stroud,Theatre,"£15,000 and below",
Wai Sum Smyth,Rhythm Circle Digital Games,"£14,619",25-Aug-20,August,Q2,Midlands,Birmingham,Music,"£15,000 and below",
Chris White,Spork! 2020,"£14,670",25-Aug-20,August,Q2,South West,Exeter,Literature,"£15,000 and below",
Dan Berry,The Consequence Machines,"£13,180",25-Aug-20,August,Q2,Midlands,Shropshire,Visual arts,"£15,000 and below",
Falmouth Art Gallery,Thanks for the Apples,"£14,900",25-Aug-20,August,Q2,South West,Cornwall,Visual arts,"£15,000 and below",
OffPiste Theatre,Monologue Bank by OffPiste Theatre,"£1,275",25-Aug-20,August,Q2,South West,Dorset,Theatre,"£15,000 and below",
Constance Mbassi Manga,Haendel on the Estate,"£14,644",26-Aug-20,August,Q2,London,Barnet,Theatre,"£15,000 and below",
Augusta Hesketh-Harvey,No Sleep,"£5,000",26-Aug-20,August,Q2,South East,Norwich,Music,"£15,000 and below",
High Stile Projects,10/10/2020 Woven & Welded,"£15,000",26-Aug-20,August,Q2,South East,Uttlesford,Visual arts,"£15,000 and below",
Mike McGrother,Precious Days,"£13,750",26-Aug-20,August,Q2,North,Stockton-on-Tees,Music,"£15,000 and below",
Ideas Hub Chelmsford,A Creative space for Chelmsford,"£13,839",26-Aug-20,August,Q2,South East,Chelmsford,Combined arts,"£15,000 and below",
Marcus Williamson,Vision Trail,"£9,100",26-Aug-20,August,Q2,South East,Wokingham,Literature,"£15,000 and below",
Chiltern Arts,Britten Saint Nicolas: Celebrating Live and Virtual Musicmaking,"£15,000",26-Aug-20,August,Q2,South East,Dacorum,Music,"£15,000 and below",
