Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand
Paul Fox,King of the Woods: Audio Drama,"£15,890",7-Apr-21,April,Q1,North,Leeds,Theatre,"£15,000 and below"
Hannah Woods,Gestures of Care - R&D,"£12,141",7-Apr-21,April,Q1,North,Manchester,Dance,"£15,000 and below"
Jenny Roche-Newton,Matrescence Mothers Unite,"£4,500",7-Apr-21,April,Q1,North,Manchester,Dance,"£15,000 and below"
Clevedon Literary Festival,Clevedon Literary Festival,"£7,043",7-Apr-21,April,Q1,South West,North Somerset,Combined arts,"£15,000 and below"
East Devon AONB,co-creating nature connections,"£8,850",7-Apr-21,April,Q1,South West,East Devon,Combined arts,"£15,000 and below"
Chris Fonseca,Digital Development,"£9,650",7-Apr-21,April,Q1,London,Bromley,Dance,"£15,000 and below"
Helen Longworth,Ladies That Dig R and D,"£14,770",7-Apr-21,April,Q1,North,Lancaster,Theatre,"£15,000 and below"
The Theatre Orchard,Weston Presents,"£48,500",7-Apr-21,April,Q1,South West,North Somerset,Combined arts,"Over £15,000"
Promenade Promotions Limited,Outdoor Arts Traineeship Programme,"£14,609",7-Apr-21,April,Q1,South West,Teignbridge,Combined arts,"£15,000 and below"
23Formation,Gully & Ariez Baby,"£13,170",7-Apr-21,April,Q1,London,Barking and Dagenham,Music,"£15,000 and below"
Don't Sleep Ltd,Artistic Development - BWP & AS,"£13,127",7-Apr-21,April,Q1,London,Barking and Dagenham,Music,"£15,000 and below"
Juliet Fraser,Carson Commissions 2021-23,"£8,000",7-Apr-21,April,Q1,London,Tower Hamlets,Music,"£15,000 and below"
G.A.P Entertainment C.I.C,Platform Project 2021,"£25,000",7-Apr-21,April,Q1,Midlands,Sandwell,Combined arts,"Over £15,000"
University of Leicester,Permissible Beauty,"£98,197",7-Apr-21,April,Q1,Midlands,Leicester,Visual arts,"Over £15,000"
Gloucester Culture Trust,Gloucester Rooftop Festival 2021,"£42,146",7-Apr-21,April,Q1,South West,Gloucester,Combined arts,"Over £15,000"
MusicLinks Limited,Interactive Ensembles,"£11,700",7-Apr-21,April,Q1,North,South Lakeland,Music,"£15,000 and below"
Stephen Cole,Works with Sustainable Substance,"£10,000",7-Apr-21,April,Q1,North,Liverpool,Music,"£15,000 and below"
Flatpack Projects,Colour Box Homes,"£27,550",7-Apr-21,April,Q1,Midlands,Birmingham,Visual arts,"Over £15,000"
Julia Wilson,Parklife,"£5,834",7-Apr-21,April,Q1,North,Manchester,Theatre,"£15,000 and below"
Aidem Digital CIC,DESIblitz Literature Festival 2021,"£49,835",7-Apr-21,April,Q1,Midlands,Birmingham,Literature,"Over £15,000"
Darren Edney,The Now Project,"£14,950",8-Apr-21,April,Q1,South East,Thanet,Music,"£15,000 and below"
Salford City Council,Summer at Salford Quays,"£49,999",8-Apr-21,April,Q1,North,Salford,Combined arts,"Over £15,000"
Brian Boateng,JOEL ZEINE,"£9,150",8-Apr-21,April,Q1,South East,Luton,Music,"£15,000 and below"
Vicky Clarke,SLEEPSTATES,"£34,226",8-Apr-21,April,Q1,North,Manchester,Music,"Over £15,000"
The Middlesbrough Art Weekender,MIddlesbrough Art Weekender 2021,"£45,180",8-Apr-21,April,Q1,North,Middlesbrough,Visual arts,"Over £15,000"
Cast,Cast Creative Projects,"£49,925",8-Apr-21,April,Q1,North,Doncaster,Theatre,"Over £15,000"
Luciana Haill,Pioneer,"£15,000",8-Apr-21,April,Q1,South East,Hastings,Visual arts,"£15,000 and below"
Eden Arts,The #66 Culture Programme,"£95,000",8-Apr-21,April,Q1,North,Eden,Combined arts,"Over £15,000"
Ignite Imaginations,We Are All Makers,"£35,452",8-Apr-21,April,Q1,North,Sheffield,Visual arts,"Over £15,000"
Joss Arnott Dance,Joss Arnott Dance - Tin Man - Resubmission,"£83,991",8-Apr-21,April,Q1,North,Wakefield,Dance,"Over £15,000"
Trans Creative,Trans Creative Programme 2021,"£42,000",8-Apr-21,April,Q1,North,Manchester,Combined arts,"Over £15,000"
Two Destination Language,FIELD 2021,"£61,421",8-Apr-21,April,Q1,North,Stockton-on-Tees,Theatre,"Over £15,000"
Manchester City Council,ELEVATE 2021,"£80,000",8-Apr-21,April,Q1,North,Manchester,Combined arts,"Over £15,000"
Fuse Arts Collective,If Trees Could Talk,"£14,980",8-Apr-21,April,Q1,South East,East Hertfordshire,Combined arts,"£15,000 and below"
Rikkai Scott,Bo Jangles R&D,"£14,304",8-Apr-21,April,Q1,South East,Colchester,Dance,"£15,000 and below"
Chalk Line Theatre,The Nobodies Tour,"£12,906",8-Apr-21,April,Q1,South East,Luton,Theatre,"£15,000 and below"
Joe Luna,Hi Zero Poetry Archive Second Revised Application,"£14,531",8-Apr-21,April,Q1,South East,Brighton and Hove,Literature,"£15,000 and below"
Peter Barrett,Headway Play,"£8,840",8-Apr-21,April,Q1,South East,Colchester,Theatre,"£15,000 and below"
Mark Cator,Finding Emerson,"£12,980",8-Apr-21,April,Q1,South East,Great Yarmouth,Visual arts,"£15,000 and below"
Gravesham Network Development CIC,Cloud 9,"£14,500",8-Apr-21,April,Q1,South East,Gravesham,Combined arts,"£15,000 and below"
Anna-Maria Nabirye Manyhisa,New collaboration & development of Up In Arms,"£14,900",8-Apr-21,April,Q1,South East,Hastings,Combined arts,"£15,000 and below"
Alfie James Productions,Black Dog Theatre Creation Colchester 2021,"£4,700",8-Apr-21,April,Q1,South East,Braintree,Theatre,"£15,000 and below"
Nyasha Ngondonga,Ancestral Futures Multi-sensory Live Stream Edition,"£9,750",8-Apr-21,April,Q1,South East,Reading,Music,"£15,000 and below"
Mary Davies,MWDT Digital Project,"£14,255",8-Apr-21,April,Q1,South East,Uttlesford,Dance,"£15,000 and below"
Rhiannon Faith Company,The Care House,"£15,000",8-Apr-21,April,Q1,South East,Harlow,Dance,"£15,000 and below"
Hannah Sands,Vinegar Tom R&D,"£9,897",8-Apr-21,April,Q1,South East,Wealden,Theatre,"£15,000 and below"
South Street Arts Centre (Reading Borough Council),SITELINES presents 'Lights Over Berkshire' & 'Amelia'',"£14,825",8-Apr-21,April,Q1,South East,Reading,Theatre,"£15,000 and below"
Sabotage Theatre,We Are Not Shellfish post COVID19 Renaissance,"£14,995",8-Apr-21,April,Q1,South East,Brighton and Hove,Theatre,"£15,000 and below"
Catherine Coe Ltd,All Stories mentorship programme,"£14,963",8-Apr-21,April,Q1,South East,East Suffolk,Literature,"£15,000 and below"
Rachael House,Resistance Sustenance Protection (RSP),"£14,490",8-Apr-21,April,Q1,South East,Canterbury,Literature,"£15,000 and below"
Your Creative Force CIC,"SAFER, Newhaven","£15,550",8-Apr-21,April,Q1,South East,Eastbourne,Combined arts,"£15,000 and below"
Lost in Translation Circus,The Baron Stage 1,"£15,000",8-Apr-21,April,Q1,South East,Norwich,Combined arts,"£15,000 and below"
Totally Boom Ltd,Totally Boom - totally connected,"£39,343",8-Apr-21,April,Q1,North,Leeds,Music,Grassroots Music
Independent Dance,International Festival of Learning,"£71,000",9-Apr-21,April,Q1,London,Southwark,Dance,"Over £15,000"
Tangled Feet,Devolution Evolution,"£49,707",9-Apr-21,April,Q1,South East,Welwyn Hatfield,Theatre,"Over £15,000"
Deptford X Ltd.,Deptford X 2021,"£45,000",9-Apr-21,April,Q1,London,Lewisham,Visual arts,"Over £15,000"
Norfolk and Norwich Festival Trust,"Posters, Pamphlets and Paraphernalia - Creative Individuals Norfolk #2","£40,000",9-Apr-21,April,Q1,South East,Norwich,Combined arts,"Over £15,000"
Eastern Angles Theatre Company Ltd,Shamser Sinha tour of OWSO,"£44,000",9-Apr-21,April,Q1,South East,Ipswich,Theatre,"Over £15,000"
Sweet and Dandy,Coastal Currents Digital,"£43,950",9-Apr-21,April,Q1,South East,Hastings,Combined arts,"Over £15,000"
Suffolk Libraries,Let's Get Creative,"£77,700",9-Apr-21,April,Q1,South East,Ipswich,Libraries,"Over £15,000"
Sunshine International Arts,#BiGweeKendS,"£49,790",9-Apr-21,April,Q1,London,Haringey,Combined arts,"Over £15,000"
Fierce Panda Records Ltd,Fierce Panda Records,"£27,000",9-Apr-21,April,Q1,South East,Mid Suffolk,Music,"Over £15,000"
Ambika P3,Falling Away,"£32,000",9-Apr-21,April,Q1,London,Westminster,Visual arts,"Over £15,000"
Comics Salopia,COMICS SALOPIA - SHREWSBURY TOWN INTERNATIONAL COMICS TRAIL 2021,"£14,500",13-Apr-21,April,Q1,Midlands,Shropshire,Visual arts,"£15,000 and below"
Corey Weekes,Rapsody R&D,"£14,460",13-Apr-21,April,Q1,Midlands,Sandwell,Theatre,"£15,000 and below"
Excavate,Sherwood Voices,"£15,000",13-Apr-21,April,Q1,Midlands,Nottingham,Visual arts,"£15,000 and below"
Centre for Indian Classical Dance (CICD),Uttsav - Celebrating 40 Years of CICD,"£15,000",13-Apr-21,April,Q1,Midlands,Leicester,Dance,"£15,000 and below"
Big Top Musical Adventures,Hidden Worlds,"£13,353",13-Apr-21,April,Q1,Midlands,Birmingham,Music,"£15,000 and below"
Lisa Lapidge,Solace Song,"£13,097",13-Apr-21,April,Q1,Midlands,West Northamptonshire,Music,"£15,000 and below"
Francesca Meredith,Petticoat Council,"£14,581",13-Apr-21,April,Q1,Midlands,Warwick,Theatre,"£15,000 and below"
Arathi Ashok,Proponents of love from the garden,"£10,640",13-Apr-21,April,Q1,Midlands,Worcester,Dance,"£15,000 and below"
Ceridwen Theatre Company LTD,Monarchs Anonymous,"£12,855",13-Apr-21,April,Q1,Midlands,Wrexham,Theatre,"£15,000 and below"
Fizzog Community Trust,Theatre in the Lounge,"£14,500",13-Apr-21,April,Q1,Midlands,Dudley,Theatre,"£15,000 and below"
Museum of the Mercian Regiment (WFR Collection),Refresh & Reconsider Interactives,"£15,000",13-Apr-21,April,Q1,Midlands,Nottingham,Museums,"£15,000 and below"
Elizabeth Lambert,Brew: AR Lincoln,"£14,866",13-Apr-21,April,Q1,Midlands,Lincoln,Combined arts,"£15,000 and below"
Emma Nicholls,After It Ends,"£2,425",13-Apr-21,April,Q1,Midlands,East Lindsey,Theatre,"£15,000 and below"
Pierce Starre,Spill Yer Tea 2021,"£14,810",14-Apr-21,April,Q1,North,Sefton,Combined arts,"£15,000 and below"
Maz O'Connor,The Wife of Michael Cleary - research and development,"£14,540",14-Apr-21,April,Q1,North,Barrow-in-Furness,Theatre,"£15,000 and below"
Redcar and Cleveland Borough Council Cultural Services,The Whale,"£15,000",14-Apr-21,April,Q1,North,Redcar and Cleveland,Theatre,"£15,000 and below"
Nichla Smith,'Friends With Monsters' Commissioning,"£15,000",14-Apr-21,April,Q1,North,Manchester,Music,"£15,000 and below"
Rebeka Haigh,Seeing Red,"£5,895",14-Apr-21,April,Q1,North,Calderdale,Theatre,"£15,000 and below"
Mad Dogs Dance Theatre,TAXI! A new site-specific dance theatre production in collaboration with Red Ladder (Development phase),"£15,000",14-Apr-21,April,Q1,North,Leeds,Dance,"£15,000 and below"
Spin Arts,It's Your Move! An intergenerational choreographic project with residents of Bradford District.,"£14,970",14-Apr-21,April,Q1,North,Bradford,Dance,"£15,000 and below"
Laura Murphy's Contra,Self Made Man Phase 2 live show R&D & Performance Film Creation,"£5,637",14-Apr-21,April,Q1,South West,"Bristol, City of",Theatre,"£15,000 and below"
Many Minds,Our Voices Meet,"£20,000",14-Apr-21,April,Q1,South West,"Bristol, City of",Theatre,"£15,000 and below"
Luis Amália,Stigma—Triple Double,"£13,831",14-Apr-21,April,Q1,London,Hackney,Theatre,"£15,000 and below"
Terry O'Brien,Covid-19 Innovation Management for Artists in the Folk Sector - 2021,"£14,938",14-Apr-21,April,Q1,South East,South Norfolk,Music,"£15,000 and below"
Lorraine Smith,You Can Take Me Home Toni,"£14,716",14-Apr-21,April,Q1,North,Redcar and Cleveland,Dance,"£15,000 and below"
Nicholas Ishmael-Perkins,Dozen Things I'd Rather Be,"£6,818",14-Apr-21,April,Q1,London,Elmbridge,Theatre,"£15,000 and below"
Jordan Lennie,Company Development with Closet Bodies Project,"£14,990",14-Apr-21,April,Q1,South East,Thanet,Dance,"£15,000 and below"
Imogen Reeve,Post Truth Whatever,"£13,000",14-Apr-21,April,Q1,South West,Teignbridge,Dance,"£15,000 and below"
Casey Ovonji,"I Can Be That, Too Children's Book","£6,066",14-Apr-21,April,Q1,London,Lewisham,Literature,"£15,000 and below"
Robin Christian,Makina Books: New Words Programme  - Spring and Summer 2021,"£13,056",14-Apr-21,April,Q1,London,Haringey,Literature,"£15,000 and below"
Anna Kemper,Chalguh Chengi Marketing and free Park Productions,"£15,000",14-Apr-21,April,Q1,London,Lambeth,Dance,"£15,000 and below"
Poltergeist Theatre,Ghost Walk Audio Project & Garden R&D,"£14,847",14-Apr-21,April,Q1,South East,Oxford,Theatre,"£15,000 and below"
Jennifer Dixon,Welcome to the show,"£11,974",14-Apr-21,April,Q1,South West,Mendip,Theatre,"£15,000 and below"
Perception Check,Headspace Epics: Digital & Live Adventures to Enjoy at Home,"£14,885",14-Apr-21,April,Q1,North,"Kingston upon Hull, City of",Theatre,"£15,000 and below"
Jack Clements,ONwords and UPwords,"£14,985",14-Apr-21,April,Q1,South West,"Bristol, City of",Literature,"£15,000 and below"
Harmony Associates,Communitas,"£5,790",14-Apr-21,April,Q1,North,Copeland,Music,"£15,000 and below"
Annette Warner,Signs of the Times,"£14,995",14-Apr-21,April,Q1,South West,Southampton,Visual arts,"£15,000 and below"
Company Concentric,Resource Roundtables,"£11,975",14-Apr-21,April,Q1,London,Greenwich,Combined arts,"£15,000 and below"
Stephen Bailey,Yoga for the Feet,"£11,755",14-Apr-21,April,Q1,London,Lambeth,Theatre,"£15,000 and below"
Emily Watts,Debut EP - Aphrah,"£15,000",14-Apr-21,April,Q1,South East,Canterbury,Music,"£15,000 and below"
Sam Skinner,Green House Commissions: Eleanor Greenhalgh ‘Toolbox of the Earth’ and JC Niala ‘1918 Allotment’,"£14,800",14-Apr-21,April,Q1,South East,Oxford,Visual arts,"£15,000 and below"
Steve Lewis,beWILDerment,"£13,950",14-Apr-21,April,Q1,North,Lancaster,Music,"£15,000 and below"
DIY Theatre Community Interest Company,Inside : Outside,"£14,490",14-Apr-21,April,Q1,North,Salford,Theatre,"£15,000 and below"
Helen Reuben,Saviour Research and Development and Footprints Festival,"£3,980",14-Apr-21,April,Q1,London,Southwark,Theatre,"£15,000 and below"
Carleen Anderson,2021 MELIOR Opus Griot,"£14,950",14-Apr-21,April,Q1,South East,Waverley,Combined arts,"£15,000 and below"
Alicia Jane Turner,Queer Historic & Online Spaces - Sound & Video Installation for Spitalfields Music Festival,"£7,550",14-Apr-21,April,Q1,London,Lewisham,Theatre,"£15,000 and below"
Ramshacklicious,Club Supreme - Installation performance R&D,"£15,000",14-Apr-21,April,Q1,South West,Bath and North East Somerset,Theatre,"£15,000 and below"
Andrew Gardiner,Would you Adam and `Eve it,"£11,629",14-Apr-21,April,Q1,North,North Tyneside,Dance,"£15,000 and below"
Rosa Productions Ltd,Mapping the Coast,"£14,500",14-Apr-21,April,Q1,South East,Oxford,Combined arts,"£15,000 and below"
The Last Baguette Theatre company CIC,King Arthur – creation and outdoor tour,"£15,000",14-Apr-21,April,Q1,South West,Wiltshire,Theatre,"£15,000 and below"
maria avgoulis,Ola Onabulé Live Streaming Series,"£10,000",14-Apr-21,April,Q1,South East,Bedford,Music,"£15,000 and below"
Hannah Moss,The Precipice R&D and Outreach,"£13,247",14-Apr-21,April,Q1,London,Haringey,Theatre,"£15,000 and below"
John-William Watson,The Woman in the Red Dress (and the Man in Black Tie) R&D,"£9,902",14-Apr-21,April,Q1,North,Leeds,Dance,"£15,000 and below"
Rachel Hammond,Safety Net City,"£5,834",14-Apr-21,April,Q1,South East,St Albans,Theatre,"£15,000 and below"
Jasmine Chiu,'Willow' R&D Phase 1,"£6,312",14-Apr-21,April,Q1,London,Islington,Dance,"£15,000 and below"
Jennifer Marzullo,Project Lightboots,"£6,574",14-Apr-21,April,Q1,London,Hackney,Combined arts,"£15,000 and below"
18 Hours Ltd,Puddings and Pathways,"£14,999",14-Apr-21,April,Q1,South East,Rother,Combined arts,"£15,000 and below"
Lisa Difford,The Lightning Bird,"£14,995",14-Apr-21,April,Q1,North,Kirklees,Theatre,"£15,000 and below"
Animate Arts Company,Art Builders 2021,"£14,935",14-Apr-21,April,Q1,South East,Swale,Combined arts,"£15,000 and below"
Wimbledon International Music Festival,Supporting Diversity,"£14,980",14-Apr-21,April,Q1,London,Merton,Music,"£15,000 and below"
James Rowland,Renaissance R&D,"£9,529",14-Apr-21,April,Q1,London,Waltham Forest,Theatre,"£15,000 and below"
JACK ROBINSON,Pandoras box post Covid,"£14,830",14-Apr-21,April,Q1,North,Cheshire East,Dance,"£15,000 and below"
Manjeet Kaur,"RUN, REBEL adaptation for mid-scale stages","£15,000",14-Apr-21,April,Q1,South East,Folkestone and Hythe,Theatre,"£15,000 and below"
Denise Stephenson,Finding Melania Virtually R&D 2021,"£12,107",14-Apr-21,April,Q1,London,Southwark,Theatre,"£15,000 and below"
Mayes Creative,Star Stories,"£14,999",14-Apr-21,April,Q1,South West,Cornwall,Combined arts,"£15,000 and below"
Seventh Sense Theatre,DOG HAIR R&D - Seventh Sense Theatre LTD,"£14,920",14-Apr-21,April,Q1,South East,Buckinghamshire,Theatre,"£15,000 and below"
Adeola Ayoola,Untangling The Perils That Tangle Us Exhibition,"£14,108",14-Apr-21,April,Q1,South East,Three Rivers,Visual arts,"£15,000 and below"
Full House Theatre,Houghton Regis Hullaballoo 2021,"£14,439",14-Apr-21,April,Q1,South East,Central Bedfordshire,Theatre,"£15,000 and below"
Tuyet Huynh,VanThanh Development Programme,"£14,236",14-Apr-21,April,Q1,London,Waltham Forest,Combined arts,"£15,000 and below"
Amy Mallett,Witchfinder Soundworld,"£10,340",14-Apr-21,April,Q1,South East,East Suffolk,Theatre,"£15,000 and below"
Harriet Fraser,Desire Lines,"£14,900",14-Apr-21,April,Q1,North,South Lakeland,Combined arts,"£15,000 and below"
Leila McMillan,"Curl of Hair, Creation of Digital Production","£15,000",14-Apr-21,April,Q1,London,Tower Hamlets,Dance,"£15,000 and below"
London Borough of Tower Hamlets,"My Home, My Bari - 1971","£15,000",14-Apr-21,April,Q1,London,Tower Hamlets,Visual arts,"£15,000 and below"
Samantha Gilroy,F WORDZ: Research,"£15,000",14-Apr-21,April,Q1,South West,Southampton,Dance,"£15,000 and below"
Guy Williams,Paradapt,"£11,050",14-Apr-21,April,Q1,South East,Crawley,Music,"£15,000 and below"
ADAB,Seldom Heard Voices,"£15,000",14-Apr-21,April,Q1,North,Bury,Combined arts,"£15,000 and below"
Jo-anne Cox,Define Your Journey - R&D,"£20,083",14-Apr-21,April,Q1,London,Waltham Forest,Music,"£15,000 and below"
Studio Polpo,Mushroom Pavillion,"£8,823",14-Apr-21,April,Q1,North,Sheffield,Visual arts,"£15,000 and below"
IDST!,We have the MEANS,"£14,743",14-Apr-21,April,Q1,North,Cheshire East,Not discipline specific,"£15,000 and below"
Christopher Sainton-Clark,My Other Half,"£2,500",14-Apr-21,April,Q1,South East,North Norfolk,Theatre,"£15,000 and below"
Rebecca Solomon,Second-Hand Child Research and Development,"£14,454",14-Apr-21,April,Q1,North,Sheffield,Theatre,"£15,000 and below"
