Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
STUART WOOD,The Musical Memory Box,"£7,500",5-Apr-23,April,Q1,London,Dartford,Combined arts,"£30,000 and below",
MUSIC@MALLING,"Music@Malling - Earth, Wind, Air and Fire  - Concerts and Outreach","£20,000",5-Apr-23,April,Q1,South East,Tonbridge and Malling,Music,"£30,000 and below",
Art is my Career C.I.C,Interactive Creative Careers Game,"£18,603",5-Apr-23,April,Q1,North,North Yorkshire,Combined arts,"£30,000 and below",
All Aboard Opera!,All Aboard Opera! presents 'Catch of the Day',"£2,500",5-Apr-23,April,Q1,South East,South Oxfordshire,Music,"£30,000 and below",
Nina Telegina,Renegades,"£28,786",5-Apr-23,April,Q1,South East,Dover,Theatre,"£30,000 and below",
One Tenth Human,The Lightbulb Princess 2023,"£29,911",5-Apr-23,April,Q1,North,Lancaster,Theatre,"£30,000 and below",
Preston Caribbean Carnival Ltd.,Preston Caribbean Carnival Weekend 2023,"£85,500",5-Apr-23,April,Q1,North,Preston,Combined arts,"Above £30,000",
Yanaëlle Thiran,The Performance Path,"£9,852",5-Apr-23,April,Q1,South East,Eastbourne,Dance,"£30,000 and below",
The Moonlighters Collective,Ophelia R&D,"£17,635",5-Apr-23,April,Q1,North,Cumberland,Theatre,"£30,000 and below",
Justin Ellis,Fratcave & Beatwave,"£6,000",5-Apr-23,April,Q1,South East,Hastings,Music,"£30,000 and below",Supporting Grassroots Live Music
Spun Glass Theatre,Mini Playhouse Summer 2023,"£30,630",5-Apr-23,April,Q1,South East,Hastings,Theatre,"£30,000 and below",
Newtoy Ltd,We're All Bats - Dover,"£20,071",5-Apr-23,April,Q1,South East,Ashford,Combined arts,"£30,000 and below",
mandy parker sharp,African ancestry,"£6,730",5-Apr-23,April,Q1,South East,Rother,Museums,"£30,000 and below",
Nene Park Trust,Peterborough Celebrates 2023,"£60,000",6-Apr-23,April,Q1,South East,Peterborough,Combined arts,"Above £30,000",
Crawley Community Youth Services,CCYS Arts 2023,"£73,655",6-Apr-23,April,Q1,South East,Crawley,Combined arts,"Above £30,000",
Luiz Fernando Messias,TransMission: Sissy TV,"£13,570",11-Apr-23,April,Q1,London,Tower Hamlets,Theatre,"£30,000 and below",
Ghafar Tajmohammad,Afghani War Rugs,"£12,905",11-Apr-23,April,Q1,London,Lewisham,Visual arts,"£30,000 and below",
Jazanne Arts,Exchanging Dreams Tour and R+D,"£32,470",11-Apr-23,April,Q1,London,Enfield,Theatre,"£30,000 and below",
Uniao da Mocidade,'E Segredo' It's A Secret!,"£21,466",11-Apr-23,April,Q1,London,Barnet,Combined arts,"£30,000 and below",
BOP Productions,"Jazz Arts ReWIRED 2023 - lineage, excellence; future","£24,844",11-Apr-23,April,Q1,London,Sutton,Dance,"£30,000 and below",
Wen Feng Jasmine Teo,These Demons Production at Theatre503,"£33,000",11-Apr-23,April,Q1,London,Camden,Theatre,"£30,000 and below",
Wandsworth Arts Service,Happy Streets Festival 2023,"£15,500",11-Apr-23,April,Q1,London,Wandsworth,Combined arts,"£30,000 and below",
Roberta De Caro,From the Fragment to the Whole: phase 3 - extending the reach and sustainability of the engagement model,"£30,000",11-Apr-23,April,Q1,London,Lambeth,Visual arts,"£30,000 and below",
Phoebe Boswell,A Tree Says,"£30,000",11-Apr-23,April,Q1,London,Lewisham,Combined arts,"£30,000 and below",
Hellen Songa,Queer Ecology: Silent Spring,"£28,286",12-Apr-23,April,Q1,North,Liverpool,Visual arts,"£30,000 and below",
Anna Holmes,Brand New R&D and Script Development for 'Ketchup Lips',"£29,871",12-Apr-23,April,Q1,North,Calderdale,Dance,"£30,000 and below",
Hive North Ltd,RESUBMISSION - OutStageUs 2023,"£29,970",12-Apr-23,April,Q1,North,Bury,Theatre,"£30,000 and below",
Grand Union Music Theatre Ltd,Unforgotten Voyages,"£29,690",12-Apr-23,April,Q1,London,Tower Hamlets,Music,"£30,000 and below",
Ebbar Dube,Kuumba- Creating Together,"£22,000",12-Apr-23,April,Q1,London,Merton,Theatre,"£30,000 and below",
Kimberley Collins - Smith,Queer Movement Series - Research & Development for a new dance vocabulary,"£22,470",12-Apr-23,April,Q1,London,Kingston upon Thames,Dance,"£30,000 and below",
Isabel Castro Jung,Covijo-99/2023,"£32,151",12-Apr-23,April,Q1,London,Lambeth,Visual arts,"£30,000 and below",
Corey Johnson,Levels,"£27,807",12-Apr-23,April,Q1,London,Lambeth,Combined arts,"£30,000 and below",Supporting Grassroots Live Music
The Stags Head,Production Project,"£29,999",12-Apr-23,April,Q1,London,Hackney,Music,"£30,000 and below",Supporting Grassroots Live Music
Takeshi Matsumoto,Club Ninja Research & Development,"£10,317",12-Apr-23,April,Q1,London,Haringey,Dance,"£30,000 and below",
Rebecca Emerson-Gold,MILITARIA (WIP),"£6,453",12-Apr-23,April,Q1,London,Lewisham,Theatre,"£30,000 and below",
Lower Shaw Farm,"Swindon ArtsWords Community Readers & Writers Project, 2023-24","£29,235",12-Apr-23,April,Q1,South West,Swindon,Literature,"£30,000 and below",
Bath Spa University Research and Enterprise Office,Forest of Imagination 2023,"£28,995",12-Apr-23,April,Q1,South West,Bath and North East Somerset,Combined arts,"£30,000 and below",
Chaja Verkerk,Loss,"£2,066",12-Apr-23,April,Q1,South East,Brighton and Hove,Visual arts,"£30,000 and below",
Somewhen,Somewhenever,"£18,000",12-Apr-23,April,Q1,South West,Isle of Wight,Literature,"£30,000 and below",
Aylesbury Opera,Community Opera Gala Concert,"£5,350",12-Apr-23,April,Q1,South East,Buckinghamshire,Music,"£30,000 and below",
Leo's Circus,The Four Elements + The Christmas Circus Show,"£15,570",12-Apr-23,April,Q1,South East,Slough,Theatre,"£30,000 and below",
International Agatha Christie Festival,International Agatha Christie Festival 2023,"£29,000",12-Apr-23,April,Q1,South West,Torbay,Literature,"£30,000 and below",
RISE Youth Dance,"Performers, Partners, Progress","£29,332",12-Apr-23,April,Q1,South West,"Bristol, City of",Dance,"£30,000 and below",
MSL Projects,Road to the Wild Horn Fair 3,"£30,000",12-Apr-23,April,Q1,South East,Hastings,Visual arts,"£30,000 and below",
Hannah Rose,Built It Together,"£15,000",12-Apr-23,April,Q1,South West,South Hams,Visual arts,"£30,000 and below",
Friends Families and Travellers,Tales From The Vardo,"£29,240",12-Apr-23,April,Q1,South East,Brighton and Hove,Visual arts,"£30,000 and below",
Stitch Department CIC,Stitch Department,"£24,000",12-Apr-23,April,Q1,South West,Isle of Wight,Visual arts,"£30,000 and below",
Bristol International Jazz and Blues Festival,Bristol Jazz Festival 2023,"£15,000",12-Apr-23,April,Q1,South West,"Bristol, City of",Music,"£30,000 and below",
shelley polaine,Pogo Represents,"£27,894",12-Apr-23,April,Q1,South West,Plymouth,Music,"£30,000 and below",Supporting Grassroots Live Music
Jack Chamberlain,Climate stories and VR theatre,"£36,125",12-Apr-23,April,Q1,North,"Kingston upon Hull, City of",Theatre,"£30,000 and below",
Tidal Tales Collective,"The Hare, the Moon and the River Tour","£30,000",12-Apr-23,April,Q1,South West,North Somerset,Theatre,"£30,000 and below",
Flock Theatremakers,There's a Tiger in The Garden- Regional + Arts & Health Performances,"£32,442",12-Apr-23,April,Q1,South East,Brighton and Hove,Theatre,"£30,000 and below",
Dead Rabbits Theatre,Expanding Horizons,"£29,991",12-Apr-23,April,Q1,South East,Tendring,Theatre,"£30,000 and below",
Gravesham Arts Salon,Gravesham Fringe Festival 2023,"£28,750",12-Apr-23,April,Q1,South East,Gravesham,Combined arts,"£30,000 and below",
Bridge Creative Enterprise CIC,HYEM! (working title),"£24,888",12-Apr-23,April,Q1,North,County Durham,Combined arts,"£30,000 and below",
Anna-Maria Nabirye Manyhisa,Up In Arms - Legacy & Publication,"£34,240",12-Apr-23,April,Q1,South East,Hastings,Visual arts,"£30,000 and below",
Savinder Bual,Free Reed: Finding Voice,"£28,310",12-Apr-23,April,Q1,South East,North Hertfordshire,Visual arts,"£30,000 and below",
Hellcat Theatre,THE CLUB- A CIU STORY,"£21,159",12-Apr-23,April,Q1,North,North Yorkshire,Theatre,"£30,000 and below",
Hannah Farley-Hills,"Research-led Writers Room: new work co-created with diverse, underrepresented women & non-binary communities across UK","£25,920",12-Apr-23,April,Q1,South East,Swale,Theatre,"£30,000 and below",
matthew herbert,The Horse,"£10,500",12-Apr-23,April,Q1,South East,Canterbury,Music,"£30,000 and below",
Indie Novella Ltd,Diversity in Publishing Partnership,"£20,000",12-Apr-23,April,Q1,South East,Cherwell,Literature,"£30,000 and below",
Young and Talented,"Run, Rebel","£14,900",12-Apr-23,April,Q1,London,Waltham Forest,Theatre,"£30,000 and below",
Forest Tribe,FaZe_Research And Development_Resubmission,"£13,750",12-Apr-23,April,Q1,North,Cheshire East,Theatre,"£30,000 and below",
James David Stewart,Play Reading - The Birthday/Engagement/Funeral Party,"£1,412",12-Apr-23,April,Q1,North,Northumberland,Theatre,"£30,000 and below",
Dilek Latif,Level Up,"£11,996",12-Apr-23,April,Q1,South East,Colchester,Theatre,"£30,000 and below",
East Marsh United,Grassroots Music Project - The Roy Arthur Wright Programme,"£29,995",12-Apr-23,April,Q1,North,North East Lincolnshire,Music,"£30,000 and below",Supporting Grassroots Live Music
Cat Scott,"Making Inner Horizons, accessible, environmentally responsible & commercially viable","£32,671",12-Apr-23,April,Q1,North,Bradford,Visual arts,"£30,000 and below",
phaedra ensemble,Gavin Bryars at 80,"£26,635",12-Apr-23,April,Q1,London,Hackney,Music,"£30,000 and below",
Theatre Space North East CIC,Sunderland Summer of Shakespeare 2023,"£13,558",12-Apr-23,April,Q1,North,Sunderland,Theatre,"£30,000 and below",
Soraya Syed,Sound & Silence at The Coronet Theatre,"£29,900",12-Apr-23,April,Q1,London,Hillingdon,Combined arts,"£30,000 and below",
Blaze Arts,Stand Out,"£17,996",12-Apr-23,April,Q1,North,Burnley,Combined arts,"£30,000 and below",
Rebecca Fuller,Resubmission of You & M.E Both Phase 1,"£27,928",12-Apr-23,April,Q1,South East,West Suffolk,Theatre,"£30,000 and below",
Green Croft Arts,Delia Derbyshire - Trailblazer,"£29,417",12-Apr-23,April,Q1,North,Northumberland,Visual arts,"£30,000 and below",
Theatre Sans Frontieres,TSF: Caribbean Folktales in the North East and beyond.,"£19,797",12-Apr-23,April,Q1,North,Northumberland,Theatre,"£30,000 and below",
James Paddock,Mirrored to the Core at Exeter Phoenix - resubmitted,"£29,693",12-Apr-23,April,Q1,South West,Eastleigh,Visual arts,"£30,000 and below",
Ark Culture,Ark Culture Community Mela,"£25,000",12-Apr-23,April,Q1,South East,Luton,Combined arts,"£30,000 and below",
Salisbury Cathedral,To Be Free,"£5,202",12-Apr-23,April,Q1,South West,Wiltshire,Visual arts,"£30,000 and below",
Maia Ayling,SHUSH : Creation,"£33,321",13-Apr-23,April,Q1,South West,Shropshire,Theatre,"£30,000 and below",
Literati Arts CIC,The Literati Clinic (TLC),"£16,609",13-Apr-23,April,Q1,Midlands,Leicester,Literature,"£30,000 and below",
"Furthest from the Sea Music, Comedy & Arts CIC",Furthest From The Sea Festival 2023,"£29,947",13-Apr-23,April,Q1,Midlands,Amber Valley,Combined arts,"£30,000 and below",
The Fabularium,'The Crew' - New Show + Touring Workshop/Installation,"£29,738",13-Apr-23,April,Q1,Midlands,Coventry,Theatre,"£30,000 and below",
Birmingham Pride (UK) Ltd,WM Coronation Festival,"£8,387",13-Apr-23,April,Q1,Midlands,Birmingham,Combined arts,"£30,000 and below",
Matilda Rowland,Fox and the missing socks,"£10,960",13-Apr-23,April,Q1,Midlands,Erewash,Dance,"£30,000 and below",
Mahtab Hussain,The Forgotten Indian (Sikh/Hindu/Muslim) Soldiers of WW2,"£29,750",13-Apr-23,April,Q1,Midlands,Birmingham,Visual arts,"£30,000 and below",
Natalie Edwards,2023 ESW,"£30,000",13-Apr-23,April,Q1,Midlands,Birmingham,Literature,"£30,000 and below",
Highly Sprung Performance,Accelerate r&d,"£29,070",13-Apr-23,April,Q1,Midlands,Coventry,Theatre,"£30,000 and below",
African Community Heritage Hub Ltd,NOSTALGIE YA MBOKA FESTIVAL 2023,"£29,200",18-Apr-23,April,Q1,Midlands,Birmingham,Combined arts,"£30,000 and below",
LYNNEBEC,Levelling up LYNNEBEC’s Capacity & Artistic Outputs,"£29,993",18-Apr-23,April,Q1,Midlands,Birmingham,Combined arts,"£30,000 and below",
Bertz Associates LTD,Civic Gospel Reframed,"£27,563",18-Apr-23,April,Q1,Midlands,Birmingham,Combined arts,"£30,000 and below",
People's Heritage Co-operative,Ophelias of Birmingham,"£33,792",18-Apr-23,April,Q1,Midlands,Birmingham,Combined arts,"£30,000 and below",
Marcia Edwards,Organisational Development and R&D with Canal and River Trust,"£29,984",18-Apr-23,April,Q1,Midlands,Dudley,Dance,"£30,000 and below",
Sherry Davis,Ode to the Ancestors Music Project,"£30,000",18-Apr-23,April,Q1,London,Lewisham,Music,"£30,000 and below",
Jataneel Banerjee,"'Ganga' by Jataneel Banerjee, phase 2: completion, feedback, and performances","£24,185",18-Apr-23,April,Q1,London,Barnet,Music,"£30,000 and below",
Jonathan Mansfield,Jonny Mansfield Quintet 2023 UK Tour,"£3,594",18-Apr-23,April,Q1,North,Lambeth,Music,"£30,000 and below",
Sebastian Merrick,Melisa x Swarupa Tour,"£3,916",18-Apr-23,April,Q1,London,Camden,Music,"£30,000 and below",
Jim Warboy,R&D for Queer Electronic AIDS crisis opera,"£30,999",18-Apr-23,April,Q1,London,Camden,Music,"£30,000 and below",
Central African Youth in Enfield,Congolese Rumba Exploration & Achievement,"£28,915",18-Apr-23,April,Q1,London,Enfield,Music,"£30,000 and below",
Hannah Maxwell,"Nan, Me & Barbara Pravi: Staging, touring & workshops","£30,413",18-Apr-23,April,Q1,South East,North Hertfordshire,Theatre,"£30,000 and below",
Kate Flatt,The Weather Machine: Widening the reach Climate Crisis & Dance for Early Years Audiences,"£22,360",18-Apr-23,April,Q1,South East,Watford,Dance,"£30,000 and below",
The Grand Theatre of Lemmings,Lemmings Leading the Way - A Year of Participatory Arts Activities in Tendring,"£93,898",18-Apr-23,April,Q1,South East,Tendring,Combined arts,"Above £30,000",
Kat Stidston,Text & Delete,"£3,959",18-Apr-23,April,Q1,South East,Southend-on-Sea,Theatre,"£30,000 and below",
Glen Stoker,Storyboard,"£28,950",18-Apr-23,April,Q1,Midlands,Stoke-on-Trent,Visual arts,"£30,000 and below",
Wollaton Arts,Wollaton Arts,"£6,970",18-Apr-23,April,Q1,Midlands,Nottingham,Combined arts,"£30,000 and below",
Norwich Puppet Theatre,Midsummer Nights Dream - Making Shakespeare Accessible,"£29,100",18-Apr-23,April,Q1,South East,Norwich,Theatre,"£30,000 and below",
Newark Town Council,Newark Festival,"£30,000",18-Apr-23,April,Q1,Midlands,Newark and Sherwood,Combined arts,"£30,000 and below",
sophie weaver,Ruptured Duck Community Theatre Group Project 2023,"£5,800",18-Apr-23,April,Q1,South East,Colchester,Theatre,"£30,000 and below",
April Small,Medea 2023,"£11,901",18-Apr-23,April,Q1,South East,Hastings,Theatre,"£30,000 and below",
CAMP,CAMP - new approaches,"£60,466",18-Apr-23,April,Q1,South West,Plymouth,Visual arts,"Above £30,000",
Take A Part CIO,Take A Part - Communities of Identity,"£101,823",18-Apr-23,April,Q1,South West,Plymouth,Combined arts,"Above £30,000",
Babar Cafe Limited,Babar Cafe Presents,"£30,000",18-Apr-23,April,Q1,Midlands,"Herefordshire, County of",Music,"£30,000 and below",Supporting Grassroots Live Music
James Wilton Dance Limited,LORE and The Four Seasons Re-tours,"£30,000",18-Apr-23,April,Q1,South East,Mid Sussex,Dance,"£30,000 and below",
Ana Godinho de Matos,Participatory Livestreaming Arts Platform,"£29,811",18-Apr-23,April,Q1,London,Newham,Combined arts,"£30,000 and below",
Georgia Crowther,"There is no Door, yet There are Many Windows","£4,092",18-Apr-23,April,Q1,South East,Worthing,Visual arts,"£30,000 and below",
Worcester Carnival,A Carnival for the Future,"£29,966",18-Apr-23,April,Q1,Midlands,Worcester,Combined arts,"£30,000 and below",
Ben Spence,Hoodstock 2023,"£18,772",18-Apr-23,April,Q1,London,Waltham Forest,Music,"£30,000 and below",Supporting Grassroots Live Music
Harlow Art Trust,"Harlow Art Trust at 70 Our Community, Our Environment","£26,785",19-Apr-23,April,Q1,South East,Harlow,Visual arts,"£30,000 and below",
Tommy Gwatkin,My Dear Aunty Nell,"£34,751",19-Apr-23,April,Q1,South East,Mid Sussex,Theatre,"£30,000 and below",
Deal Music and Arts Limited,Engagement through the Arts,"£16,575",19-Apr-23,April,Q1,South East,Canterbury,Combined arts,"£30,000 and below",
Photo|Frome,Photo|Frome 2023,"£20,000",19-Apr-23,April,Q1,South West,Wiltshire,Visual arts,"£30,000 and below",
Northern Quarter Jazz Ltd,NQ Jazz,"£33,122",19-Apr-23,April,Q1,North,Manchester,Music,"£30,000 and below",Supporting Grassroots Live Music
Kedisha Coakley,Horticultural Appropriation: Bloc Projects Solo Show,"£7,537",19-Apr-23,April,Q1,North,Sheffield,Visual arts,"£30,000 and below",
Concrete Youth,The Whispering Jungle 2023 UK Tour,"£30,000",19-Apr-23,April,Q1,North,"Kingston upon Hull, City of",Theatre,"£30,000 and below",
Radstock Town Council,Reimagining Radstock,"£28,500",19-Apr-23,April,Q1,South West,Bath and North East Somerset,Visual arts,"£30,000 and below",
Community Connect,Creative Connections,"£20,000",19-Apr-23,April,Q1,North,Rotherham,Visual arts,"£30,000 and below",
Tamara Al-Mashouk,Memory of Matter,"£54,252",19-Apr-23,April,Q1,London,Hackney,Visual arts,"Above £30,000",
Vicki Bennett,Creativity top up for my Cafe OTO residency,"£4,600",19-Apr-23,April,Q1,London,Hounslow,Music,"£30,000 and below",
BANG Edutainment,Riddim Up 2023,"£47,594",19-Apr-23,April,Q1,London,Brent,Music,"Above £30,000",
Spiracle Audiobooks Ltd,Spiracle ACE 2,"£50,000",19-Apr-23,April,Q1,London,Islington,Literature,"Above £30,000",
Phoebe Wood,UNZIPPED Arts - Outreach and Theatre Production,"£16,225",19-Apr-23,April,Q1,South West,Dorset,Theatre,"£30,000 and below",
